Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
46,Fire Protection,Critical,A0701 - LIFE SEFETY PLAN - LEVEL 1 - GROUND.pdf,Multiple 1- and 2-hour walls shown but there is no coordination note regarding sprinkler piping penetrations or required firestopping assemblies.
47,Fire Protection,Critical,A0702 - LIFE SAFETY PLAN - LEVEL 2 - MECHANICAL.pdf,"Mechanical level shows large shafts and mechanical rooms but no FP equipment, standpipes, or sprinkler mains identified; unclear how FP risers pass through and serve this level."
48,Fire Protection,Critical,A0702 - LIFE SAFETY PLAN - LEVEL 2 - MECHANICAL.pdf,Stair enclosures and elevator lobbies depicted without hose valve locations or standpipe routing; compliance with standpipe requirements not verifiable.
49,Fire Protection,Critical,A0703 - LIFE SAFETY PLAN - LEVEL 3 - PARKING.pdf,"Parking level life safety plan lacks indication of sprinkler coverage, head spacing, or special protection for ramps and low-clearance areas; potential obstruction/coverage issues not addressed."
50,Fire Protection,Critical,A0703 - LIFE SAFETY PLAN - LEVEL 3 - PARKING.pdf,"Rated separations between parking and occupied spaces shown, but no FP notes on sprinkler zoning, draft curtains, or penetration protection at these boundaries."
51,Fire Protection,Critical,A0704 - LIFE SAFETY PLAN - LEVEL 4 - PARKING.pdf,Level 4 parking life safety plan does not indicate sprinkler layout or standpipe hose valves within the garage; ability to meet NFPA 13/14 coverage and travel distance requirements is unclear.
52,Fire Protection,Critical,A0704 - LIFE SAFETY PLAN - LEVEL 4 - PARKING.pdf,Stair enclosures shown without clear indication of standpipe continuation and hose valve locations at intermediate landings and roof; need FP drawings to confirm.
53,Fire Protection,High,File: A0705 - LIFE SAFETY PLAN - LEVEL 5 AND LEVEL 8 - PARKING.pdf,"No sprinkler piping, head layouts, or standpipe risers are shown on this life safety sheet; FP coverage, zoning, and coordination with exits and fire-rated separations at Levels 5 and 8 parking cannot be verified."
54,Fire Protection,High,File: A0705 - LIFE SAFETY PLAN - LEVEL 5 AND LEVEL 8 - PARKING.pdf,Standpipe riser routing and hose valve locations within stair and elevator cores are not indicated; compliance with standpipe requirements and coordination with stair pressurization systems is unclear.
55,Fire Protection,High,File: A0705 - LIFE SAFETY PLAN - LEVEL 5 AND LEVEL 8 - PARKING.pdf,"Fire-rated walls and shaft enclosures are shown architecturally, but there is no information on fire sprinkler or standpipe penetrations, sleeves, or firestopping; FP coordination with rated assemblies is not documented."
56,Fire Protection,High,File: A0706 - LIFE SAFETY PLAN - LEVEL 6-7 AND LEVEL 9-10 - PARKING.pdf,"Life safety plan does not show sprinkler or standpipe layouts; FP protection of parking areas, residential support spaces, and transition zones between parking and residential occupancies cannot be confirmed."
57,Fire Protection,High,File: A0706 - LIFE SAFETY PLAN - LEVEL 6-7 AND LEVEL 9-10 - PARKING.pdf,"Hose valve locations and standpipe continuity through stairs serving multiple parking and residential levels are not indicated; need confirmation of standpipe class, zoning, and coordination with stair pressurization."
58,Fire Protection,High,File: A0706 - LIFE SAFETY PLAN - LEVEL 6-7 AND LEVEL 9-10 - PARKING.pdf,"Rated separation lines between parking and residential areas are shown, but there is no detail on FP piping penetrations or any requirement for sprinkler protection on both sides of fire barriers; coordination is missing."
59,Fire Protection,Critical,File: A0711 - LIFE SAFETY PLAN - LEVEL 11 - RESORT DECK.pdf,"No indication of exterior sprinkler/standpipe coverage or hose outlets for large resort deck and pool areas; need clarification on FP strategy for open deck, cabanas, and assembly occupancies."
60,Fire Protection,Critical,File: A0711 - LIFE SAFETY PLAN - LEVEL 11 - RESORT DECK.pdf,Sprinkler head layouts and standpipe riser/hose valve locations are not shown in resort interior areas and stairs; FP coverage and egress path protection cannot be validated.
61,Fire Protection,Critical,File: A0711 - LIFE SAFETY PLAN - LEVEL 11 - RESORT DECK.pdf,"Numerous rated walls and shafts are identified, but there is no information on FP penetrations, sprinkler requirements at openings, or shaft sprinklering; need coordination details for constructability."
62,Fire Protection,Critical,File: A0712 - LIFE SAFETY PLAN - LEVEL 12 - MECHANICAL.pdf,"Mechanical life safety plan does not show fire sprinkler, standpipe, or special suppression layouts for mechanical rooms and equipment areas; protection of critical equipment and compliance with NFPA 13/standpipe requirements are unclear."
63,Fire Protection,Critical,File: A0712 - LIFE SAFETY PLAN - LEVEL 12 - MECHANICAL.pdf,Standpipe risers and hose valve locations within stairs are not indicated; need confirmation of vertical continuity and coordination with mechanical shafts and pressurization systems.
64,Fire Protection,Critical,File: A0712 - LIFE SAFETY PLAN - LEVEL 12 - MECHANICAL.pdf,Rated mechanical rooms and shafts are shown without FP penetration/firestopping notes or sprinkler requirements within shafts; coordination between FP risers and rated enclosures is not documented.
65,Fire Protection,Critical,File: A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"No sprinkler head layouts, piping, or zoning are indicated on the residential life safety plan; ability to verify dwelling unit and corridor coverage, head spacing, and coordination with ceilings is missing."
66,Fire Protection,Critical,File: A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"Standpipe riser routing and hose valve locations at intermediate landings and roof levels are not shown; need confirmation of standpipe class, outlet spacing, and integration with stair pressurization."
67,Fire Protection,Critical,File: A0714 - LIFE SAFETY PLAN - LEVELS 14 TO 23 - RESIDENTIAL.pdf,"Rated corridor and unit separation lines are indicated architecturally, but there is no information on FP penetrations, sprinkler piping routing through rated assemblies, or required sprinklers at unit entries; FP/architectural coordination is incomplete."
68,Fire Protection,Critical,File: A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,"No fire sprinkler layouts, head locations, or spacing are indicated; coordination of sprinkler coverage with unit layouts and corridors is not documented."
69,Fire Protection,Critical,File: A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,Standpipe riser routing and hose valve locations within stairs/elevator lobbies are not shown; compliance with standpipe coverage requirements is unclear.
70,Fire Protection,Critical,File: A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,Penetrations for future FP piping through fire-rated walls/shafts are not detailed or noted; firestopping and sleeve requirements are not identified.
71,Fire Protection,Critical,File: A0724 - LIFE SAFETY PLAN - LEVELS 24 TO 35 - RESIDENTIAL.pdf,Life safety plan legend references fire ratings and egress but does not cross-reference FP drawings or codes for sprinkler/standpipe criteria; coordination path between architectural life safety and FP design is not defined.
72,Fire Protection,Critical,File: A0736 - LIFE SAFETY PLAN - LEVEL 36 - MECHANICAL.pdf,No sprinkler or standpipe information is shown for large mechanical rooms and open mechanical floor areas; required sprinkler coverage and potential special hazard protection are not documented.
73,Fire Protection,Critical,File: A0736 - LIFE SAFETY PLAN - LEVEL 36 - MECHANICAL.pdf,Hose valve locations and standpipe riser continuity are not indicated in stairs serving this level; verification of code-required hose valve at intermediate landings or floor levels is not possible.
74,Fire Protection,Critical,File: A0736 - LIFE SAFETY PLAN - LEVEL 36 - MECHANICAL.pdf,Coordination between FP piping and large mechanical ducts/shafts (potential sprinkler obstructions) is not addressed on the life safety plan; risk of concealed or obstructed sprinkler heads is not evaluated.
75,Fire Protection,Critical,File: A0737 - LIFE SAFETY PLAN - LEVELS 37 TO 48 - RESIDENTIAL.pdf,"Similar to lower residential levels, no sprinkler head layouts or zoning are indicated; ability to meet NFPA spacing and coverage in irregular unit geometries is undocumented."
76,Fire Protection,Critical,File: A0737 - LIFE SAFETY PLAN - LEVELS 37 TO 48 - RESIDENTIAL.pdf,Fire sprinkler and standpipe provisions in elevator lobbies and rated egress corridors are not shown; confirmation of sprinkler protection within these critical life safety areas is not possible.
77,Fire Protection,Critical,File: A0737 - LIFE SAFETY PLAN - LEVELS 37 TO 48 - RESIDENTIAL.pdf,"Life safety notes do not specify sprinkler system design basis (NFPA standard, hazard classification, design density, or system type); FP performance criteria for these levels are ambiguous."
78,Fire Protection,Critical,File: A0749 - LIFE SAFETY PLAN - LEVELS 49 TO 59 - RESIDENTIAL.pdf,"No indication of sprinkler head locations, branch line routing, or any FP equipment; potential conflicts with architectural soffits and ceilings cannot be reviewed."
79,Fire Protection,Critical,File: A0749 - LIFE SAFETY PLAN - LEVELS 49 TO 59 - RESIDENTIAL.pdf,Standpipe hose valve symbols or notations are absent; verification of hose valve at each required floor level and at roof access for upper stories is not possible.
80,Fire Protection,Critical,File: A0749 - LIFE SAFETY PLAN - LEVELS 49 TO 59 - RESIDENTIAL.pdf,No callouts for FP sleeve/firestop assemblies where sprinkler piping will penetrate exterior or party walls; constructability of maintaining ratings with FP penetrations is not addressed.
81,Fire Protection,Critical,File: A0760 - LIFE SAFETY PLAN - LEVEL 60 - MECHANICAL.pdf,"Sprinkler protection for mechanical penthouse spaces, equipment platforms, and roof-adjacent areas is not shown; potential need for dry/preaction systems or special hazard protection is not addressed."
82,Fire Protection,Critical,File: A0760 - LIFE SAFETY PLAN - LEVEL 60 - MECHANICAL.pdf,Standpipe termination and hose valve arrangement at the highest level/roof are not indicated; compliance with code requirement for roof-level hose valve and riser continuation is unclear.
83,Fire Protection,Critical,File: A0760 - LIFE SAFETY PLAN - LEVEL 60 - MECHANICAL.pdf,No indication of coordination between future sprinkler piping and major mechanical/structural elements; potential sprinkler obstructions and seismic bracing needs within high mechanical spaces are not identified.
84,Fire Protection,Critical,File: A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,"Life safety plan does not indicate sprinkler zoning, main/branch piping routes, or riser/standpipe locations for Level 61; FP system layout and coordination with egress paths and rated shafts is unclear."
85,Fire Protection,Critical,File: A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,Exterior/covered bridge and terrace occupiable areas are not labeled for sprinkler protection or noted as sprinkler-exempt; need clarification on coverage and any dry/preaction requirements.
86,Fire Protection,Critical,File: A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,Standpipe hose valve locations are not shown within stair enclosures or at intermediate landings; coordination with FP drawings for standpipe risers and valves is not documented.
87,Fire Protection,Critical,File: A0761 - LIFE SAFETY PLAN - LEVEL 61 - SKY BRIDGE.pdf,"Fire-rated walls and shafts are identified, but there is no information on fire sprinkler piping or alarm raceway penetrations and required firestopping; FP penetrations through rated construction are not coordinated."
88,Fire Protection,Critical,File: A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,"No sprinkler head layout, spacing, or density information is indicated for Level 62 occupancies; ability to meet NFPA coverage, especially in large assembly and amenity spaces, cannot be verified."
89,Fire Protection,Critical,File: A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,"Large open areas and double‑height spaces appear present but are not called out for special sprinkler design (e.g., high ceilings, cloud ceilings, soffits); potential obstruction/spacing issues under architectural features are not addressed."
90,Fire Protection,Critical,File: A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,Standpipe routing between towers across the sky bridge and hose valve locations at each floor level are not indicated; need confirmation of continuous standpipe system and hose valve placement per code.
91,Fire Protection,Critical,File: A0762 - LIFE SAFETY PLAN - LEVEL 62 - SKY BRIDGE.pdf,"Life safety legend lists fire-rated walls and doors but does not reference sprinkler system type (wet/dry), design criteria, or hydraulic remote area; FP performance criteria are missing from this level’s documentation."
92,Fire Protection,High,File: A0763 - LIFE SAFETY PLAN - LEVEL 63 - SKY BRIDGE.pdf,"Level 63 life safety plan shows egress and ratings only; absence of sprinkler, standpipe, and riser information makes coordination of FP with shafts, stairs, and mechanical spaces ambiguous."
93,Fire Protection,High,File: A0763 - LIFE SAFETY PLAN - LEVEL 63 - SKY BRIDGE.pdf,"Central bridge area with large opening and possible double‑height condition lacks indication of sprinkler coverage at both levels, under balconies, and around the opening; potential shadow areas and obstruction conditions are not addressed."
94,Fire Protection,High,File: A0763 - LIFE SAFETY PLAN - LEVEL 63 - SKY BRIDGE.pdf,"Fire-rated shafts and service rooms are shown without any FP notes on sprinkler requirements (e.g., elevator machine rooms, electrical rooms) or exemptions; need confirmation of protection strategy."
95,Fire Protection,Critical,File: A0764 - LIFE SAFETY PLAN - LEVEL 64 - SKY DECK.pdf,"Large exterior pool deck and cabana areas are not annotated for sprinkler or water spray protection, nor is there a statement that sprinklers are not required; FP approach for this high‑occupancy outdoor level is unclear."
96,Fire Protection,Critical,File: A0764 - LIFE SAFETY PLAN - LEVEL 64 - SKY DECK.pdf,"Enclosed or partially enclosed bar/amenity structures on the deck are not shown with FP equipment or notes; need confirmation of sprinkler coverage, riser proximity, and drain provisions for potential dry systems."
97,Fire Protection,Critical,File: A0764 - LIFE SAFETY PLAN - LEVEL 64 - SKY DECK.pdf,Standpipe hose valve locations at stair discharge to the sky deck are not indicated; verify hose valve placement at required intermediate and roof/deck levels.
98,Fire Protection,Critical,File: A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,"No sprinkler or standpipe information is shown for penthouse units and corridors; need confirmation of sprinkler coverage, zoning, and coordination with rated separations."
99,Fire Protection,Critical,File: A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,"Roof/penthouse mechanical and residential areas on Level 66 lack indication of sprinkler protection, standpipe termination, and hose valve locations; unclear if roof level requires additional hose valves or monitor nozzles."
100,Fire Protection,Critical,File: A0765 - LIFE SAFETY PLAN - LEVELS 65 TO 66 - PENTHOUSE.pdf,"Life safety notes reference fire ratings and egress but do not coordinate with FP requirements such as sprinkler system type, design densities for residential vs. assembly, or water supply assumptions; FP design criteria are missing for uppermost levels."
101,Fire Protection,Critical,File: A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,"Life safety plan shows exits, stairs, and rated walls but no sprinkler head layout, risers, or standpipes; FP system configuration on Level 67 is not documented and cannot be coordinated."
102,Fire Protection,Critical,File: A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,Hose valve locations for standpipes are not indicated within stairwells or at intermediate landings; compliance with IBC/NFPA 14 standpipe requirements is unclear.
103,Fire Protection,Critical,File: A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,No indication of sprinkler protection for unit balconies/terraces or any concealed spaces/soffits; potential unsprinklered special hazard areas not identified.
104,Fire Protection,Critical,File: A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,Fire-rated shafts and corridor walls are shown but there is no information on FP piping penetrations or required firestopping sleeves; coordination of FP penetrations through rated construction is not addressed.
105,Fire Protection,Critical,File: A0767 - LIFE SAFETY PLAN - LEVEL 67 - RESIDENTIAL.pdf,Life safety plan indicates stair pressurization zones but provides no coordination notes for sprinkler piping within pressurized stairs; potential conflict with pressure integrity and door undercut requirements.
106,Fire Protection,Critical,File: A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,Roof plan shows occupied roof decks and pool areas but provides no indication of sprinkler or standpipe coverage for these exterior occupied spaces; required protection and hose reach are unclear.
107,Fire Protection,Critical,File: A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,Standpipe hose valve locations at roof level are not shown at stair terminations; compliance with NFPA 14 roof-level hose valve requirement is not documented.
108,Fire Protection,Critical,File: A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,Mechanical and equipment areas on the roof are shown without indication of sprinkler protection or FP riser routing; potential omission of required protection and coordination with equipment clearances.
109,Fire Protection,Critical,File: A0768 - LIFE SAFETY PLAN - LEVEL 68 - ROOF.pdf,Fire-rated stair and shaft enclosures at roof level are indicated architecturally but there is no detail on FP piping penetrations or firestopping at roof/shaft interfaces.
110,Fire Protection,High,File: S4010_TYPICAL OPENINGS AND EMBEDMENTS IN CONCRETE.pdf,"Typical opening/embeddment details establish structural limitations but do not reference coordination with fire sprinkler mains, standpipes, or fire pump suction/discharge piping; risk that FP sleeve sizes and locations will conflict with PT tendons and reinforcement."
111,Fire Protection,High,File: S4010_TYPICAL OPENINGS AND EMBEDMENTS IN CONCRETE.pdf,PT slab penetration criteria are shown without any reserved zones or minimum clear areas for fire protection risers and large mains; FP routing through PT slabs may not be constructible without tendon revisions.
112,Fire Protection,High,File: S4010_TYPICAL OPENINGS AND EMBEDMENTS IN CONCRETE.pdf,Conduit placement criteria address electrical/mechanical conduits but do not mention sprinkler piping or hanger inserts; need clarification that FP piping and seismic bracing inserts are coordinated with tendon and rebar layouts.
113,Fire Protection,Critical,File: M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Diagram shows diesel fire pump fuel system but does not indicate fire pump room fire-resistance rating, separation from other occupancies, or door rating; compliance with NFPA 20 room separation requirements is unclear."
114,Fire Protection,Critical,File: M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Access and working clearances around the fire pump, fuel tank, and associated piping are not dimensioned; ability to install and maintain FP equipment per NFPA 20 is uncertain."
115,Fire Protection,Critical,File: M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,"Fuel oil diagram does not reference required fire pump test header, relief valve discharge routing, or connection to sprinkler/standpipe riser; overall FP system interface to the pump is not documented."
116,Fire Protection,Critical,File: M-307_MECHANICAL FUEL OIL DIAGRAM - FIRE PUMP.pdf,Penetrations of fuel oil piping through walls and floors are shown without indication of fire-rated assemblies or firestopping details where passing through rated construction; coordination with FP and architectural fire-resistance requirements is missing.
