Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
53,Mechanical,Critical,M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf,Piping mains and branches are shown schematically without clear pipe sizes and elevations at congested crossings; provide fully sized piping layout with invert/elevation data to coordinate with structure and other services.
54,Mechanical,Critical,M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf,"Locations of outside air intakes, relief/exhaust louvers, and discharge heights relative to operable windows and public terraces are not clearly defined; provide separation distances and louver schedules to confirm code compliance and avoid recirculation."
55,Mechanical,Critical,M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf,"No condensate drain routing is indicated for rooftop/mechanical room cooling equipment; show condensate piping, slopes, and points of discharge or connection to building drainage."
56,Mechanical,Critical,M-160B_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR B.pdf,Transition of risers from lower guestroom floors (Levels 49–59) into Level 60 mechanical spaces is not clearly shown; provide coordinated riser diagrams and connection details to Level 60 equipment.
57,Mechanical,Critical,M-160B_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR B.pdf,"Several small mechanical/electrical rooms contain ductwork and piping but lack clear indication of access to dampers, valves, and strainers; add access/clearance notes and show access doors/panels."
58,Mechanical,Critical,M-160B_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR B.pdf,"Exhaust duct routing from Level 60 spaces to final discharge (roof or façade louvers) is not fully indicated; provide continuous routing, shaft usage, and discharge locations."
59,Mechanical,Critical,M-161_FLOOR PLAN - LEVEL 61 - MECHANICAL PLAN.pdf,"Mechanical ventilation and dehumidification strategy for pool/amenity spaces is not clearly defined (only limited diffusers/ducts visible); provide dedicated pool HVAC layout, air change rates, and exhaust routing per code."
60,Mechanical,Critical,M-161_FLOOR PLAN - LEVEL 61 - MECHANICAL PLAN.pdf,"Coordination of supply air, exhaust, and make-up air for outdoor bar/kitchen or service areas is unclear; clarify hood exhaust, make-up air duct routing, and louver/termination locations."
61,Mechanical,Critical,M-161_FLOOR PLAN - LEVEL 61 - MECHANICAL PLAN.pdf,Termination of vertical risers serving lower floors (supply/return/exhaust/condensate) at Level 61 is not clearly indicated; provide riser diagrams and plan callouts showing final connections and discharge points.
62,Mechanical,Critical,"M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf, Page 1; M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf, Page 1; M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf, Page 1; M-160B_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR B.pdf, Page 1; M-161_FLOOR PLAN - LEVEL 61 - MECHANICAL PLAN.pdf","No mechanical control diagrams or detailed sequences of operation are provided on these floor plans for major systems (AHUs, FCUs, exhaust, pressurization); provide control diagrams and sequences to ensure constructability, commissioning, and BMS integration."
63,Mechanical,Critical,"M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf, Page 1; M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf, Page 1; M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf, Page 1; M-160B_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR B.pdf, Page 1; M-161_FLOOR PLAN - LEVEL 61 - MECHANICAL PLAN.pdf","Balancing dampers, fire/smoke dampers, and access panels are not consistently indicated at duct branches and penetrations; provide complete damper schedule and show all required dampers with access locations for testing and maintenance."
64,Mechanical,Critical,"M-149A_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR A.pdf, Page 1; M-149B_FLOOR PLAN - LEVEL 49 TO 59 - MECHANICAL PLAN - SECTOR B.pdf, Page 1; M-160A_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR A.pdf, Page 1; M-160B_FLOOR PLAN - LEVEL 60 - MECHANICAL PLAN - SECTOR B.pdf, Page 1; M-161_FLOOR PLAN - LEVEL 61 - MECHANICAL PLAN.pdf","Stair and elevator pressurization/ventilation systems are not clearly shown on these levels; confirm required pressurization fans, ductwork, and controls, and coordinate with life safety design."
65,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf,"Several supply/return duct mains pass through walls/shafts without dimensions or elevations; vertical offsets and required soffits/beam penetrations are not detailed, creating coordination risk with structure and other trades."
66,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf,"Many fan coil units are shown with connection arrows but without clear piping routings, pipe sizes, or valve/strainer packages, making hydronic distribution and balancing unconstructible from this sheet alone."
67,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf,"Exhaust duct routing from multiple guestroom toilet exhaust grilles to common risers is only partially indicated; exact riser locations, duct sizes, and connections for several rooms are ambiguous."
68,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf,"Condensate drainage for fan coil/VRF terminal units is not clearly shown (no condensate pipe routing, risers, or termination points), leaving constructability and coordination with plumbing unclear."
69,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf,Access and service clearances around risers and equipment in small mechanical/shaft rooms are not dimensioned; potential conflicts with walls/doors cannot be evaluated.
70,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf,"No specific mechanical control/BMS interface information (thermostat locations, network controllers, damper actuator access) is indicated on this level, hindering coordination with electrical/low-voltage trades."
71,Mechanical,Critical,M-163_FLOOR PLAN - LEVEL 63 - MECHANICAL PLAN.pdf,Multiple duct mains and branches cross each other and structural elements without indicated elevations or coordination notes; vertical clearances and required drops/risers are not defined.
72,Mechanical,Critical,M-163_FLOOR PLAN - LEVEL 63 - MECHANICAL PLAN.pdf,"Fan coil units are shown but with incomplete hydronic piping schematics (no consistent indication of supply/return pipe sizes, balancing valves, isolation valves, or unions), making installation and commissioning requirements unclear."
73,Mechanical,Critical,M-163_FLOOR PLAN - LEVEL 63 - MECHANICAL PLAN.pdf,"Several toilet and general exhaust branches show arrows “UP/DOWN” to risers, but riser tags, sizes, and shaft allocations are not consistently identified, creating ambiguity for shaft sizing and fire/smoke damper locations."
74,Mechanical,Critical,M-163_FLOOR PLAN - LEVEL 63 - MECHANICAL PLAN.pdf,"No ceiling height or plenum depth information is given where large ducts and piping are congested, so it is not verifiable that all systems fit above ceilings with required clearances."
75,Mechanical,Critical,M-163_FLOOR PLAN - LEVEL 63 - MECHANICAL PLAN.pdf,"No indication of zone thermostat, humidistat, or VAV/FCU control device locations; BMS interface and power/communication routing cannot be coordinated from this sheet."
76,Mechanical,Critical,M-164_FLOOR PLAN - LEVEL 64 - MECHANICAL PLAN.pdf,"Rooftop/terrace mechanical equipment (e.g., fan coils or small AHUs) is shown adjacent to landscape and architectural features without clear service clearances or access paths, risking maintenance access conflicts."
77,Mechanical,Critical,M-164_FLOOR PLAN - LEVEL 64 - MECHANICAL PLAN.pdf,"Outdoor air intake and exhaust terminations near occupied terrace areas are indicated but separation distances from operable windows, doors, and public areas are not dimensioned, so code-compliant clearances cannot be confirmed."
78,Mechanical,Critical,M-164_FLOOR PLAN - LEVEL 64 - MECHANICAL PLAN.pdf,"Similar to lower levels, hydronic piping to fan coil units lacks clear routing, pipe sizing, and valve package details, leaving constructability and balancing requirements undefined."
79,Mechanical,Critical,M-164_FLOOR PLAN - LEVEL 64 - MECHANICAL PLAN.pdf,"No condensate drainage routing is shown for terrace and interior fan coil units, nor is discharge point or connection to building drainage indicated."
80,Mechanical,Critical,M-165_FLOOR PLAN - LEVEL 65 - MECHANICAL PLAN.pdf,Duct and pipe riser transitions from Level 64 to Level 65 are indicated only with generic up/down arrows; there is no coordinated riser diagram or shaft layout on this sheet to verify capacity and trade stacking.
81,Mechanical,Critical,M-165_FLOOR PLAN - LEVEL 65 - MECHANICAL PLAN.pdf,"Several mechanical/utility rooms contain multiple fan coils and piping manifolds but lack dimensions for working clearances, door swings, and access to valves/filters, making serviceability uncertain."
82,Mechanical,Critical,M-165_FLOOR PLAN - LEVEL 65 - MECHANICAL PLAN.pdf,"Exhaust duct routing from guestroom toilets to risers is partially shown; for some rooms, connections to main exhaust trunks are not clearly indicated, creating ambiguity for duct sizing and damper locations."
83,Mechanical,Critical,M-166_FLOOR PLAN - LEVEL 66 - MECHANICAL PLAN.pdf,"As with Level 65, vertical riser connections and shaft allocations are only generically noted; without a riser diagram or shaft schedule, it is not possible to confirm that all ducts/pipes fit within shafts with required fire/smoke separation."
84,Mechanical,Critical,M-166_FLOOR PLAN - LEVEL 66 - MECHANICAL PLAN.pdf,"Mechanical rooms at this level show dense piping and ductwork but no explicit access/maintenance clearances around equipment, strainers, or control valves, risking inaccessible components."
85,Mechanical,Critical,M-166_FLOOR PLAN - LEVEL 66 - MECHANICAL PLAN.pdf,"No condensate routing for upper-level fan coils or any coordination with roof drainage is shown, leaving uncertainty about slope, pipe sizing, and termination points."
86,Mechanical,Critical,M-162_FLOOR PLAN - LEVEL 62 - MECHANICAL PLAN.pdf; M-163_FLOOR PLAN - LEVEL 63 - MECHANICAL PLAN.pdf; M-164_FLOOR PLAN - LEVEL 64 - MECHANICAL PLAN.pdf; M-165_FLOOR PLAN - LEVEL 65 - MECHANICAL PLAN.pdf; M-166_FLOOR PLAN - LEVEL 66 - MECHANICAL PLAN.pdf,"Across Levels 62–66 mechanical plans, no mechanical riser diagrams, hydronic schematics, or control diagrams are provided on these sheets, so shaft sizing, vertical coordination, and control sequencing cannot be confirmed as required by constructability checklist."
87,Mechanical,Critical,M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf,"Duct and piping routing between Level 67 air handling equipment and vertical shafts is only partially indicated; exact shaft entry points, elevations, and required sleeve/shaft sizes are not clearly defined, creating coordination risk with structure and other trades."
88,Mechanical,Critical,M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf,"Access and service clearances around mechanical equipment (fan coils, AHUs, pumps, etc.) are not dimensioned or clearly shown; need confirmation that minimum code and manufacturer service clearances are maintained and coordinated with architectural walls/doors."
89,Mechanical,Critical,M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf,"Mechanical risers for supply/return/exhaust and condensate are not tagged with sizes or clear identification of which systems occupy each shaft, making it impossible to confirm shaft capacity and coordination with other disciplines."
90,Mechanical,Critical,M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf,"Condensate piping from fan coils/terminal units is not clearly routed to mains or drains; lack of pipe sizing, slopes, and drain termination points prevents confirmation of workable condensate management."
91,Mechanical,Critical,M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf,"No clear indication of outside air intake or exhaust discharge locations and separation distances relative to doors, windows, and operable openings; need confirmation of code-compliant separation and louver/penetration details at Level 67."
92,Mechanical,Critical,M-167_FLOOR PLAN - LEVEL 67 - MECHANICAL PLAN.pdf,"Sequences of operation and control points for Level 67 mechanical equipment (VAV/FCU control, interlocks with fire alarm/smoke control, freeze protection, etc.) are not shown or referenced, limiting ability to confirm constructability and BMS coordination."
93,Mechanical,Critical,M-168A_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR A.pdf,"Equipment pads and large condenser/heat-rejection units are shown without explicit maintenance/access clearances on all sides; crane/rigging and coil pull paths are not indicated, creating uncertainty about serviceability."
94,Mechanical,Critical,M-168A_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR A.pdf,"Refrigerant or condenser water piping to rooftop units is not fully routed or sized on plan (no clear path to risers/penetrations), preventing confirmation of feasible routing, support, and coordination with roof structure and parapets."
95,Mechanical,Critical,M-168A_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR A.pdf,"Condensate discharge from rooftop units is not clearly indicated (no piping, leaders, or termination points), so it is unclear how condensate is managed and protected from icing/staining at roof edges."
96,Mechanical,Critical,M-168A_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR A.pdf,"Separation distances between mechanical exhaust/heat rejection plumes and any outside air intakes/openings at roof level are not dimensioned, so compliance with code and manufacturer requirements cannot be verified."
97,Mechanical,Critical,M-168B_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR B.pdf,"Mechanical equipment and duct/pipe connections in Sector B are shown schematically without detailed routing, elevations, or coordination with parapets and roof structure; constructible routing and support of services cannot be confirmed."
98,Mechanical,Critical,M-168B_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR B.pdf,"No clear mechanical access paths or working clearances are indicated for equipment located behind or between other roof elements (e.g., around fans/condensers and near stair/elevator overruns), raising concern about safe maintenance access."
99,Mechanical,Critical,M-168B_FLOOR PLAN - LEVEL 68 - MECHANICAL PLAN - SECTOR B.pdf,"Plan does not reference any roof-level mechanical control diagrams or sequences (e.g., condenser fan staging, interlocks with building systems), so controls scope and wiring routing cannot be validated."
100,Mechanical,Critical,M-169A_FLOOR PLAN - EMR LEVEL 1 - SECTOR A.pdf,"Equipment in EMR Level 1 Sector A is tightly arranged with no dimensioned service clearances, door swing checks, or equipment removal paths; need confirmation that units can be replaced and maintained without demolition."
101,Mechanical,Critical,M-169A_FLOOR PLAN - EMR LEVEL 1 - SECTOR A.pdf,"Ductwork and piping transitions between EMR Level 1 equipment and vertical risers/shafts are only partially indicated; missing sizes, elevations, and offsets make it difficult to confirm fit within shafts and above structure."
102,Mechanical,Critical,M-169A_FLOOR PLAN - EMR LEVEL 1 - SECTOR A.pdf,"Floor drains, emergency drains, and condensate routing for EMR Level 1 equipment are not clearly shown; cannot confirm code-required drainage, leak management, and secondary containment."
103,Mechanical,Critical,M-169B_FLOOR PLAN - EMR LEVEL 1 - SECTOR B.pdf,"Similar to Sector A, EMR Level 1 Sector B equipment layout lacks explicit service clearances, access aisles, and equipment removal routes; need confirmation that adequate working space is coordinated with architectural layout."
104,Mechanical,Critical,M-169B_FLOOR PLAN - EMR LEVEL 1 - SECTOR B.pdf,"Duct and piping routing from EMR Level 1 Sector B equipment to risers and adjacent spaces is schematic with limited sizing and no elevation/offset information, preventing verification of constructible routing above ceilings and within shafts."
105,Mechanical,Critical,M-169B_FLOOR PLAN - EMR LEVEL 1 - SECTOR B.pdf,"Condensate and equipment drain connections for EMR Level 1 Sector B are not clearly indicated; need clarification of drain locations, pipe sizes, and termination points to avoid field design."
