Item No.,Discipline,Reference Drawing(s)/Location,Observation/Comments
17,Fire Protection,FP-02_LEVEL2 - FIRE PROTECTION.pdf,Coordination between FP standpipes and mechanical pressurization ducts in stair and shaft spaces is not detailed; risk of conflicts or inadequate clearances.
18,Fire Protection,FP-02_LEVEL2 - FIRE PROTECTION.pdf,Exterior balcony/terrace areas adjacent to building envelope do not clearly show whether sprinklers are required or provided; potential unsprinklered special hazard areas.
19,Fire Protection,FP-03_LEVEL3 - FIRE PROTECTION.pdf,Large open parking/amenity area shows grid but individual sprinkler heads and spacing not clearly indicated; ability to meet maximum coverage and spacing requirements is unclear.
20,Fire Protection,FP-03_LEVEL3 - FIRE PROTECTION.pdf,Sprinkler protection at parking ramps and sloped decks is not detailed (head locations vs. slope/clearances not shown); need confirmation of coverage and obstruction-free discharge.
21,Fire Protection,FP-03_LEVEL3 - FIRE PROTECTION.pdf,Standpipe riser and hose valve locations at Level 3 not clearly called out; verification of required hose reach and intermediate landing valves is not possible.
22,Fire Protection,FP-03_LEVEL3 - FIRE PROTECTION.pdf,Seismic bracing for FP piping is not indicated on this level despite likely requirement for braced mains in a high-rise; need bracing layout or reference to separate seismic bracing plan.
23,Fire Protection,FP-03_LEVEL3 - FIRE PROTECTION.pdf,"No callouts showing where FP mains penetrate rated stair and elevator core walls, nor associated firestopping details; risk of uncoordinated penetrations compromising ratings."
24,Fire Protection,,---
25,Fire Protection,FP-04_LEVEL4 - FIRE PROTECTION.pdf,"Sprinkler head spacing is not dimensioned; compliance with NFPA coverage criteria, especially in irregular perimeter and balcony areas, is unclear."
26,Fire Protection,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Coordination with architectural reflected ceiling plans is not shown; potential conflicts between sprinklers and soffits/ceiling transitions cannot be verified.
27,Fire Protection,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Sloped ceiling/ramps indicated but no specific details on sprinkler elevation adjustments or additional heads at high/low points; risk of shadowed areas.
28,Fire Protection,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Large beams/soffits shown without explicit obstruction notes or head relocation details; potential noncompliance with NFPA obstruction rules.
29,Fire Protection,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Standpipe riser routing and hose valve locations are not clearly indicated on this level; verification of required hose valve at each stair landing is not possible.
30,Fire Protection,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Penetrations for sprinkler piping through fire-rated walls/shafts are not detailed; firestopping and sleeve requirements are not identified.
31,Fire Protection,FP-05_LEVEL5 - FIRE PROTECTION.pdf,"Sprinkler layout in perimeter terrace/offset zones appears sparse with long distances between heads; without dimensions, coverage adequacy is uncertain."
32,Fire Protection,FP-05_LEVEL5 - FIRE PROTECTION.pdf,FP drawing does not clearly show revised head locations relative to new walls/terraces; potential unsprinklered pockets or heads in wrong compartment.
33,Fire Protection,FP-05_LEVEL5 - FIRE PROTECTION.pdf,No clear indication whether these are considered ordinary hazard or light hazard; design density/area assumptions and hazard classification not documented on plan.
34,Fire Protection,FP-05_LEVEL5 - FIRE PROTECTION.pdf,Continuity of sprinkler mains/risers between Levels 4–6 is not diagrammed; contractor cannot confirm pipe sizes and connection points from this sheet alone.
35,Fire Protection,FP-06_LEVEL6 - FIRE PROTECTION.pdf,Head spacing not dimensioned; irregular room geometries and corridors make it difficult to verify maximum spacing and distance from walls.
36,Fire Protection,FP-06_LEVEL6 - FIRE PROTECTION.pdf,Transition between interior sprinklers and any required balcony/terrace protection is not shown; unclear if exterior projections are sprinklered where required.
37,Fire Protection,FP-06_LEVEL6 - FIRE PROTECTION.pdf,"Sprinkler coverage within M/E rooms not clearly visible; special hazard provisions (e.g., valve rooms, electrical equipment) are not called out."
38,Fire Protection,FP-06_LEVEL6 - FIRE PROTECTION.pdf,No explicit coordination notes between stair pressurization ductwork and standpipe/sprinkler piping; potential conflicts in tight shaft spaces.
39,Fire Protection,FP-07_LEVEL7 - FIRE PROTECTION.pdf,Similar layout to Level 6 but without explicit keynotes for each head type; ambiguity whether concealed/pendant/sidewall types match ceiling conditions.
40,Fire Protection,FP-07_LEVEL7 - FIRE PROTECTION.pdf,Sprinkler branch lines follow structure but no detail on hanger/seismic bracing for sloped piping; constructability of support and bracing is unclear.
41,Fire Protection,FP-07_LEVEL7 - FIRE PROTECTION.pdf,"Several small rooms and alcoves appear to rely on a single centrally located head; without dimensions, risk of exceeding maximum distance from walls or creating shadowed areas."
42,Fire Protection,FP-07_LEVEL7 - FIRE PROTECTION.pdf,Hose valve symbols are not clearly visible at each intermediate floor landing; confirmation of NFPA 14 hose valve placement is not possible.
43,Fire Protection,FP-08_LEVEL8 - FIRE PROTECTION.pdf,Perimeter pink-highlighted areas suggest architectural changes but sprinkler layout does not clearly reflect revised boundaries; possible need for additional heads along new exterior walls.
44,Fire Protection,FP-08_LEVEL8 - FIRE PROTECTION.pdf,It is unclear if this level is the top sprinklered story; no indication of inspector’s test/auxiliary drains or high-point venting for top-of-riser piping.
45,Fire Protection,FP-08_LEVEL8 - FIRE PROTECTION.pdf,"No explicit indication whether exterior overhangs, canopies, or occupied terraces require sprinklers; coordination with architectural life-safety requirements is not documented."
46,Fire Protection,FP-08_LEVEL8 - FIRE PROTECTION.pdf,"Seismic bracing requirements for suspended piping are not identified on plan; only generic details are provided, making exact brace locations and types ambiguous for these levels."
47,Fire Protection,,---
48,Fire Protection,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Sprinkler head spacing is not dimensioned; compliance with NFPA area/spacing limits and room coverage cannot be verified.
49,Fire Protection,FP-09_LEVEL9 - FIRE PROTECTION.pdf,"Coordination of sprinklers with detailed ceiling layouts, soffits, and bulkheads is not shown; risk of concealed or shadowed areas under architectural elements."
50,Fire Protection,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Extent of required exterior/soffit sprinklers for overhangs and combustible features is unclear; some exterior covered areas appear unsprinklered.
51,Fire Protection,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Standpipe riser routing and hose valve locations within stairs are not clearly indicated on this level; confirmation of code-compliant hose valve at each stair landing is required.
52,Fire Protection,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Penetrations of rated shafts/walls by sprinkler piping are not detailed or tagged; firestopping and sleeve requirements need clarification.
53,Fire Protection,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Seismic bracing for sprinkler mains and risers is not indicated on the plan; need confirmation of bracing locations and details per applicable seismic requirements.
54,Fire Protection,FP-10_LEVEL10 - FIRE PROTECTION.pdf,"Sprinkler layout lacks dimensions and density/area-of-coverage callouts, making verification of NFPA-compliant spacing difficult."
55,Fire Protection,FP-10_LEVEL10 - FIRE PROTECTION.pdf,Potential for ceiling slope/geometry to affect sprinkler coverage; no specific notes on sloped ceiling design criteria or head type/spacing adjustments.
56,Fire Protection,FP-10_LEVEL10 - FIRE PROTECTION.pdf,"No explicit coordination with architectural reflected ceiling plans; potential conflicts with soffits, beams, and lighting not addressed."
57,Fire Protection,FP-10_LEVEL10 - FIRE PROTECTION.pdf,Hose valve locations and standpipe identification are not clearly shown on this level; need confirmation of continuity and accessibility of standpipe system.
58,Fire Protection,FP-10_LEVEL10 - FIRE PROTECTION.pdf,Sprinkler protection for small service rooms and closets adjacent to cores is not clearly shown; verify no unsprinklered special hazard or storage spaces.
59,Fire Protection,FP-11_LEVEL11 - FIRE PROTECTION.pdf,"Sprinkler head spacing and design criteria (hazard classification, density) are not called out on the plan; contractor cannot verify required coverage."
60,Fire Protection,FP-11_LEVEL11 - FIRE PROTECTION.pdf,"Extent of required sprinklers under canopies, balconies, and overhangs on the amenity deck is unclear; some covered exterior areas appear without sprinkler indication."
61,Fire Protection,FP-11_LEVEL11 - FIRE PROTECTION.pdf,No clear indication of vertical piping/riser locations serving both podium and tower; potential constructability issue for routing and isolation at this level.
62,Fire Protection,FP-11_LEVEL11 - FIRE PROTECTION.pdf,Standpipe hose valves not clearly shown at intermediate landings; need confirmation of code-compliant placement and signage.
63,Fire Protection,FP-11_LEVEL11 - FIRE PROTECTION.pdf,Coordination with mechanical stair pressurization and smoke control systems is not addressed; potential conflict between ductwork and sprinkler piping in stairs and lobbies.
64,Fire Protection,FP-12_LEVEL12 - FIRE PROTECTION.pdf,Sprinkler layout is schematic with no dimensions or coverage radii; difficult to confirm spacing in long corridors and large rooms.
65,Fire Protection,FP-12_LEVEL12 - FIRE PROTECTION.pdf,No indication of sprinkler adjustments at soffits/bulkheads shown architecturally; potential for obstructions and unprotected pockets above unit entries and kitchens.
66,Fire Protection,FP-12_LEVEL12 - FIRE PROTECTION.pdf,"Routing of mains/branches between the two building bars is not clear; need clarification of elevation, support, and coordination with structure/MEP."
67,Fire Protection,FP-12_LEVEL12 - FIRE PROTECTION.pdf,Some small rooms off corridors do not clearly show sprinkler heads; verify all enclosed spaces above threshold size are protected.
68,Fire Protection,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Single typical plan is used for multiple levels but variations in architectural layouts by level (if any) are not addressed; need confirmation that this FP layout matches each floor.
69,Fire Protection,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler spacing within dwelling units is not dimensioned; compliance with residential spacing rules and proximity to walls/obstructions is unclear.
70,Fire Protection,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Several balconies/terraces appear without clearly indicated sprinklers under overhead construction; clarify requirements and provide heads where code-mandated.
71,Fire Protection,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Standpipe and hose valve symbols are not clearly shown on typical floor plan; need explicit confirmation of hose valve at each required landing on all levels 14–23.
72,Fire Protection,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,No explicit detailing of firestopping for sprinkler piping penetrations through rated assemblies; require reference to UL assemblies or standard details for constructability.
73,Fire Protection,"FP-09_LEVEL9 - FIRE PROTECTION.pdf, Page 1; FP-10_LEVEL10 - FIRE PROTECTION.pdf, Page 1; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf","Hydraulic design data (remote area, density, design pressure) and water supply/flow test information are not visible on these level plans; contractor cannot verify system sizing without separate documentation."
74,Fire Protection,,---
75,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler head spacing is not dimensioned; compliance with NFPA area/spacing limits and coordination with unit layouts is unclear.
76,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,No reflected ceiling information or soffit locations are shown on this FP sheet; potential conflicts between sprinklers and architectural ceilings/soffits cannot be verified.
77,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Exterior balcony/terrace areas appear unsprinklered with no clear note indicating they are exempt; confirm code compliance and need for sidewall or dry sprinklers.
78,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Riser routing and pipe sizes are not clearly indicated through vertical shafts; continuity of standpipe/sprinkler risers between levels is ambiguous.
79,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Standpipe hose valve locations within stairs are not clearly shown; confirm hose valves at required landings and coordination with rated stair walls.
80,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,"Special hazard/support spaces (trash rooms, electrical/telecom, storage) are difficult to distinguish and dedicated sprinkler coverage is not clearly identified."
81,Fire Protection,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Seismic bracing details or notes for piping are not evident; requirements for seismic restraint of mains and risers are unclear.
82,Fire Protection,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,Sprinkler layout in large open mechanical areas lacks visible dimensions; ability to maintain maximum spacing and distance from walls/partitions is unclear.
83,Fire Protection,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,No coordination is shown between sprinkler piping/heads and major mechanical ductwork; potential obstructions to sprinkler discharge are not addressed.
84,Fire Protection,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,Standpipe/sprinkler riser diagram or clear routing through the mechanical level is not legible; confirm riser continuity and valve locations at this level.
85,Fire Protection,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,Fire sprinkler coverage for large mechanical/electrical rooms is hard to verify; head locations relative to equipment footprints and clearances are not clearly coordinated.
86,Fire Protection,FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf,"Flow test data, system design criteria (density/area, hazard classification) and available pressures are not clearly visible on this sheet; constructability of hydraulic design cannot be confirmed."
87,Fire Protection,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,Similar residential layout as lower levels but no explicit note confirming sprinkler design criteria for dwelling units vs. corridors; ambiguity on hazard classification and density.
88,Fire Protection,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,Exterior balcony/terrace areas again appear without sprinklers or clear exemption note; need confirmation for all levels 37–48.
89,Fire Protection,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,"Hose valve symbols, if present, are not clearly distinguishable at stair landings; verify required standpipe outlets and distances to remote points on these floors."
90,Fire Protection,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,Penetrations of rated walls by sprinkler mains/risers are not detailed; firestopping and sleeve requirements through cores are not indicated.
91,Fire Protection,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler head layout is shown but without dimensions or grid references; difficult to confirm maximum spacing and distance from walls in irregular-shaped units.
92,Fire Protection,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,Any change in occupancy or ceiling condition at perimeter/amenity spaces is not clearly coordinated with sprinkler type and spacing.
93,Fire Protection,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,No explicit indication of stair pressurization or coordination between mechanical pressurization ducts and standpipe/sprinkler piping.
94,Fire Protection,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,"No clear indication of inspector’s test, floor control valve assemblies, or isolation valves for each floor; constructability and zoning of the system by level are unclear."
95,Fire Protection,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,"Large mechanical penthouse areas show limited sprinkler detail; coverage around major equipment, platforms, and under mezzanines (if any) is not clearly shown."
96,Fire Protection,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,Any required sprinklers for covered exterior mechanical or service areas at roof level are not clearly indicated.
97,Fire Protection,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,Standpipe termination and roof hose valve locations are not clearly shown; confirm code-required outlets at roof or highest landing.
98,Fire Protection,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,"No explicit coordination notes for maintaining sprinkler clearances from fan rooms, ducts, and structural framing in the penthouse; potential obstructions not addressed."
99,Fire Protection,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,"Seismic bracing, hanger spacing, and support details for roof-level mains/risers are not clearly indicated; installation requirements are ambiguous."
100,Fire Protection,,---
101,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Sprinkler head spacing appears schematic with no dimensions; compliance with NFPA density/spacing criteria not verifiable.
102,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Large “OPEN TO ABOVE” atrium area shows limited edge sprinklers; need clarification on protection strategy for balconies and ceiling at level above.
103,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Exterior seating/occupiable terrace shows no sprinklers; confirm code-required coverage or justification for omission.
104,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Multiple beams/soffits indicated architecturally but no notation of sprinkler adjustments or sidewall heads; potential obstruction to spray patterns.
105,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Standpipe riser routing and hose valve locations within stairs/elevator lobbies are not clearly shown at this level; continuity of standpipe system unclear.
106,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Penetrations of rated shafts and walls by FP mains not detailed; need firestopping and sleeve details or reference to typicals.
107,Fire Protection,FP-19_LEVEL61 - FIRE PROTECTION.pdf,No hydraulic design area or required design density for this level is called out; unclear if different hazard areas (guest rooms vs public spaces) are accounted for.
108,Fire Protection,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Sprinkler layout lacks dimensioned spacing and does not indicate design criteria per area; difficult to confirm NFPA-compliant coverage.
109,Fire Protection,FP-20_LEVEL62 - FIRE PROTECTION.pdf,"Numerous architectural elements (bars, soffits, decorative ceilings) not coordinated with sprinkler locations; risk of hidden or shadowed areas."
110,Fire Protection,FP-20_LEVEL62 - FIRE PROTECTION.pdf,"If area is used for parking or vehicle access, no indication of special hazard or dry-type sprinkler requirements; clarify hazard classification and system type."
111,Fire Protection,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Standpipe hose valve locations per floor not clearly indicated; need confirmation of valves at stair landings per code.
112,Fire Protection,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Occupied exterior terrace areas show little or no sprinkler coverage; confirm whether these are considered exterior and exempt or require protection.
113,Fire Protection,FP-21_LEVEL63 - FIRE PROTECTION.pdf,Sprinkler heads shown without dimensions or coverage limits; NFPA spacing and maximum area per head cannot be verified.
114,Fire Protection,FP-21_LEVEL63 - FIRE PROTECTION.pdf,Some bathrooms/closets appear without sprinkler symbols; confirm whether omitting sprinklers is intentional and code-compliant.
115,Fire Protection,FP-21_LEVEL63 - FIRE PROTECTION.pdf,No indication of coordination with corridor light fixtures and mechanical diffusers; potential for obstructions to sprinkler discharge.
116,Fire Protection,FP-21_LEVEL63 - FIRE PROTECTION.pdf,"Area adjacent to large open void relies on perimeter sprinklers; need clarification on curtain, draft stop, or additional protection at opening per NFPA 13."
117,Fire Protection,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Sprinkler layout is schematic with no scale-based dimensions or pipe routing; constructability and hydraulic calculations basis unclear.
118,Fire Protection,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Transition area between building masses shows limited sprinklers and unclear pipe routing across expansion joints; need detail for flexible connections and seismic movement.
119,Fire Protection,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Large outdoor amenity areas indicated with furniture/landscape but no sprinklers; clarify whether any covered portions or combustible features require protection.
120,Fire Protection,FP-22_LEVEL64 - FIRE PROTECTION.pdf,Standpipe and sprinkler riser identification at each core not clearly tagged; difficult to confirm redundancy and zoning.
121,Fire Protection,FP-23_LEVEL65 - FIRE PROTECTION.pdf,Typical residential floor sprinklers not dimensioned; head spacing relative to unit walls and beams not verifiable for NFPA compliance.
122,Fire Protection,FP-23_LEVEL65 - FIRE PROTECTION.pdf,No clear indication of system zoning or floor control valve locations for upper tower; need confirmation of sectionalizing and drain/test arrangement.
123,Fire Protection,FP-23_LEVEL65 - FIRE PROTECTION.pdf,Coordination of sprinklers with varying ceiling heights/soffits in units not shown; may require additional heads under soffits to avoid obstructions.
124,Fire Protection,FP-23_LEVEL65 - FIRE PROTECTION.pdf,Seismic bracing requirements for piping at these high levels are not indicated; need details or reference to seismic bracing standards.
125,Fire Protection,,---
126,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Sprinkler head spacing and coverage areas are not dimensioned; compliance with NFPA density and maximum spacing cannot be verified.
127,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf,No sprinkler piping routing or main locations shown; constructability and coordination with structure/MEP are unclear.
128,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf,Standpipe riser and hose valve locations are not indicated; required standpipe continuity and valve placement in stairs cannot be confirmed.
129,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf,It is unclear if exterior balcony/terrace areas require sprinklers or are intentionally omitted; need confirmation of code strategy.
130,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf,No indication of sprinkler adjustments under soffits or beams; potential hidden obstructions to sprinkler discharge not addressed.
131,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf,No explicit reference to coordination with architectural reflected ceiling plans; risk of conflicts between head locations and ceiling features.
132,Fire Protection,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Sprinkler layout lacks dimensions for head spacing and distance to walls; ability to verify design area and spacing compliance is limited.
133,Fire Protection,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Zoning of sprinklers and hydraulic remote area not identified; unclear how these large spaces are calculated for hydraulic design.
134,Fire Protection,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Standpipe riser routing and hose valve locations are not shown on the plan; stair fire protection and fire department access points are ambiguous.
135,Fire Protection,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Extent of sprinkler coverage at exterior doors/overhangs is not defined; need clarification on protection of exterior living areas.
136,Fire Protection,FP-25_LEVEL67 - FIRE PROTECTION.pdf,Special hazard or higher‑risk rooms do not show dedicated sprinkler design criteria or potential need for higher density/closer spacing.
137,Fire Protection,FP-26_LEVEL68 - FIRE PROTECTION.pdf,"Sprinkler heads shown without pipe routing or main sizes; constructability, pipe sizing, and coordination with structure are not documented."
138,Fire Protection,FP-26_LEVEL68 - FIRE PROTECTION.pdf,"It is unclear which portions of the roof amenity spaces (seating, cabanas, covered areas) are to be sprinklered; need explicit indication of protected vs unprotected zones."
139,Fire Protection,FP-26_LEVEL68 - FIRE PROTECTION.pdf,"“ROOF MANIFOLD” notes give flow/pressure but do not show detailed manifold piping layout, valving, or connection to standpipe; constructability and testing provisions unclear."
140,Fire Protection,FP-26_LEVEL68 - FIRE PROTECTION.pdf,Standpipe hose valve locations on this level are not identified; compliance with landing locations and travel distances cannot be verified.
141,Fire Protection,FP-26_LEVEL68 - FIRE PROTECTION.pdf,Coordination between sprinkler piping and large roof ductwork/equipment is not indicated; potential obstructions to sprinkler discharge not addressed.
142,Fire Protection,FP-27_LEVEL69 - FIRE PROTECTION.pdf,Sprinkler coverage in upper residential/amenity areas not dimensioned; maximum spacing and distance from walls/partitions are not verifiable.
143,Fire Protection,FP-27_LEVEL69 - FIRE PROTECTION.pdf,No clear indication whether concealed or cloud ceilings require sidewall vs pendent heads; coordination with architectural ceiling design is missing.
144,Fire Protection,FP-27_LEVEL69 - FIRE PROTECTION.pdf,Standpipe riser and hose valve symbols are not shown; fire department hose connection locations on this level are ambiguous.
145,Fire Protection,FP-27_LEVEL69 - FIRE PROTECTION.pdf,No clarification if parapet/overhang conditions create obstructions requiring special sprinkler placement or omission justification.
146,Fire Protection,FP-28_LEVEL70 - FIRE PROTECTION.pdf,"Very limited sprinkler information shown at highest level; sprinkler head locations, spacing, and pipe routing are largely absent or schematic only."
147,Fire Protection,FP-28_LEVEL70 - FIRE PROTECTION.pdf,Protection of roof mechanical and elevator machine rooms not clearly shown; need confirmation of sprinkler coverage and any special design criteria.
148,Fire Protection,FP-28_LEVEL70 - FIRE PROTECTION.pdf,"Standpipe termination, roof‑level hose valve, and test/drain arrangement are not detailed; code compliance for standpipe top connection unclear."
149,Fire Protection,FP-28_LEVEL70 - FIRE PROTECTION.pdf,No indication of sprinkler requirements for any enclosed roof structures or canopies; need confirmation whether these are noncombustible/open and exempt from sprinklers.
150,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf through FP-28_LEVEL70 - FIRE PROTECTION.pdf,"Seismic bracing, hanger spacing, and coordination with structural attachment points are not addressed on these plans; requirements for bracing at high‑rise levels remain unclear."
151,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf through FP-28_LEVEL70 - FIRE PROTECTION.pdf,Plans do not clearly indicate where FP piping penetrates rated walls/shafts or required firestopping assemblies; need coordination with architectural life‑safety plans.
152,Fire Protection,FP-24_LEVEL66 - FIRE PROTECTION.pdf through FP-28_LEVEL70 - FIRE PROTECTION.pdf,No identification of hydraulic remote areas or design criteria per floor; unclear how upper levels tie into overall hydraulic calculations.
153,Fire Protection,,---
154,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,"Fire pump room boundaries, door swings, and egress path not clearly dimensioned; compliance with NFPA 20 access/egress requirements is unclear."
155,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,Fire pump room fire-resistance rating and separation from adjacent spaces not indicated; need confirmation of required 2‑hour (or project-required) rating and fire-rated penetrations.
156,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,Ventilation and combustion air openings for diesel pump (if applicable) not shown or coordinated with architectural/MEP; ability to maintain required room temperature and exhaust routing unclear.
157,Fire Protection,FP-29_FIRE PUMP LOW ZONE.pdf,Suction piping routing to water supply and required straight-run lengths ahead of pump suction not clearly dimensioned; NFPA 20 compliance with suction piping layout is uncertain.
