Item No.,Discipline,Reference Drawing(s)/Location,Observation/Comments
16,"**[Fire Protection] – FP-35_DETAILS.pdf, Page 1 – Seismic bracing and restraint; 210505 - General materials and methods.pdf, Page 1 – Section 1.1.A.12; 210529 - Hangers and supports.pdf, Page 1 – Article 1.2 RELATED DOCUMENTS; FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Notes/Details Area; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – General notes and details block; FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – General notes/details block**  
    Observation","Seismic bracing requirements for fire protection piping and equipment are not clearly indicated in details, specs, or plans. If seismic design is required, typical bracing details, design criteria, and locations are missing; request confirmation of seismic design category and provision of FP seismic bracing requirements.

17. **[Fire Protection] – FP","35_DETAILS.pdf, Page 1 – Penetration details; 210517 - Sleeves and sleeve seals for fire-suppression piping.pdf, Page 1 – Sections 2.1 & 2.2.A; 210518 - Escutcheons for fire-suppression piping.pdf, Page 1 – Section 21 05 18; FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Coordination with Architectural Walls; FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1 – Rated wall intersections; FP-07_LEVEL7 - FIRE PROTECTION.pdf, Page 1 – Interface with rated cores and shafts; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1 – General notes/legends area; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Shafts and rated walls; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Notes/legend area; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Penetrations at rated cores; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Vertical shafts and cores; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Unit Demising and Core Rated Walls; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Rated Shafts and Demising Walls; FP-24_LEVEL66 - FIRE PROTECTION.pdf, Page 1 – Stair Cores; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Rated Enclosures and Mechanical Rooms; Faena - 50% CD - Architecture.pdf, Page 70 – Sheet A1102A; Page 80 – Sheet A1107A**"
18,"**[Fire Protection] – FP-35_DETAILS.pdf, Page 1 – Standpipe/hose valve details; FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf, Page 1 – PRV’S CHART HOSE VALVE; FP-33_SCHEMATIC HIGH ZONE.pdf, Page 1 – PRV’S CHART HOSE VALVE**  
    Observation","Hose valve details do not clearly show PRV installation, orientation, and test/drain arrangements for high","pressure floors, nor do they tie to the PRV charts. Request explicit standpipe valve/PRV detail coordinated with floor-by-floor PRV schedule."
19,"**[Fire Protection] – FP-35_DETAILS.pdf, Page 1 – General details and notes sheet-wide; FP-01 through FP-28 series – all Level FP plans**  
    Observation",Sprinkler head installation details are generic and not coordinated with project,"specific ceiling types, soffits, beams, and specialty ceilings shown architecturally. Risk of hidden obstructions and noncompliant deflector distances; request project-specific details keyed to typical ceiling/soffit conditions."
20,"**[Fire Protection] – FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf, Page 1 – Fire department connection (FDC) arrangement; FP-0_SITE PLAN.pdf, Page 1 – Central Site Plan; Faena - 50% CD - Fire Protection.pdf, Page 1 – Hydrant callouts; FP-0_SITE PLAN.pdf, Page 1 – Hydrants and FDC**  
    Observation","FDC arrangement is shown schematically without clear pipe sizes, check valves, backflow, and isolation valve details. Hydrant and FDC locations are shown but not dimensioned to building entrances or to each other. Need final FDC piping configuration, components, and confirmation of compliance with local fire department access and NFPA 14 FDC",to-hydrant spacing.
21,"**[Fire Protection] – FP-0_SITE PLAN.pdf, Page 1 – Flow Test Box; Faena - 50% CD - Fire Protection.pdf, Page 1 – Flow Test block; 211313 - Wet pipe sprinkler systems.pdf, Page 1 – Section 1.2.B.4**  
    Observation","Flow test data are provided but test location, elevation, date, and validity window are not clearly tied to design basis. No residual pressure safety factor or aging factor is indicated. Request confirmation that FP",0 flow test governs and definition of required safety margins for hydraulic calculations.
22,"**[Fire Protection] – 210500 - Common work results for fire protection.pdf, Page 1 – Sections 1.1.A.1–A.4; 211313 - Wet pipe sprinkler systems.pdf, Page 1 – Sections 1.2.B.1–B.4; 211200 - Fire-suppression standpipes.pdf, Page 1 – Section 1.4; FP-35_DETAILS.pdf, Page 1 – Sprinkler spacing note; FP-05_LEVEL5 - FIRE PROTECTION.pdf, Page 1 – Notes and legends; FP-09_LEVEL9 - FIRE PROTECTION.pdf, Page 1 – Notes and legends area; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – General notes and details block; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Overall Level 14-23 Plan; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Overall Level 24-35 Plan; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Overall Level 37-48 Plan; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Overall plan; FP-17 to FP-21 series – General notes area; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Coordination Notes/Legends Area; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Overall Level 65 Plan; FP-24_LEVEL66 - FIRE PROTECTION.pdf, Page 1 – Overall Level 66 Plan; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Overall Level 67 Plan; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Roof Manifold Notes; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Overall Level 69 Plan; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Overall Level 70 Plan; Faena - 50% CD - Architecture.pdf, Page 1 – Cover sheet**  
    Observation","Specifications and drawings reference “complete systems” and generic sprinkler coverage (e.g., 130 sq ft) but do not define design densities, areas of operation, or hazard classifications by occupancy. Standpipe design basis (system demand, zoning, required residual pressures) is not stated. Many FP sheets lack hydraulic reference points, design criteria, or water supply data. Request a consolidated fire protection design criteria summary (NFPA standards, hazard classifications, densities, remote areas, standpipe pressures, and zoning) coordinated with architectural occupancy.

23. **[Fire Protection] – 210500","Common work results for fire protection.pdf, Page 1 – Section 1.1.A.2; 211200 - Fire-suppression standpipes.pdf, Page 1 – Section 1.2.B; FP-0_SITE PLAN.pdf, Page 1 – General Notes; FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Riser/standpipe references; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Riser/shaft areas; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Riser/shaft areas; FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Riser and main routing; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Stair/elevator cores; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Around elevator lobbies and stairs; FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Stairs and cores; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Zoning; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Stair and Elevator Cores; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Stair and Elevator Cores; FP-24_LEVEL66 - FIRE PROTECTION.pdf, Page 1 – Stair Cores; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Stair and Service Cores; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Overall Level 68/Roof Plan; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Stair and elevator cores; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Vertical circulation; Faena - 50% CD - Architecture.pdf, Page 70 – Sheet A1102A; Page 80 – Sheet A1107A**"
24,"**[Fire Protection] – FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Level 1 Plan at Stairs; FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1 – Stair enclosures; FP-03_LEVEL3 - FIRE PROTECTION.pdf, Page 1 – Stair cores; FP-05_LEVEL5 - FIRE PROTECTION.pdf, Page 1 – Stair and elevator lobbies; FP-06_LEVEL6 - FIRE PROTECTION.pdf, Page 1 – Standpipes and hose valves; FP-07_LEVEL7 - FIRE PROTECTION.pdf, Page 1 – Stair and elevator cores; FP-08_LEVEL8 - FIRE PROTECTION.pdf, Page 1 – Stair enclosures; FP-09_LEVEL9 - FIRE PROTECTION.pdf, Page 1 – Stair/elevator cores; FP-10_LEVEL10 - FIRE PROTECTION.pdf, Page 1 – Stair cores; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – Stair and roof access; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1 – Stair and elevator cores; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Stair enclosures; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Stair/elevator cores; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Around elevator lobbies and stairs; FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Stairs and cores; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – Stair cores and exits; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Vertical shafts and cores; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Stair pressurization and FP; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Stair and Elevator Cores; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Stair and Elevator Cores; FP-24_LEVEL66 - FIRE PROTECTION.pdf, Page 1 – Stair Cores; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Stair and Service Cores; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Stair Exits to Roof; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Stair and elevator cores; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Vertical circulation; Faena - 50% CD - Architecture.pdf, Page 70 – Sheet A1102A; Page 80 – Sheet A1107A**  
    Observation","Hose valve locations within stairs are not clearly dimensioned or consistently shown at required landings on multiple levels. Compliance with NFPA 14 and IBC requirements for hose valve placement at intermediate and top landings cannot be verified; request explicit hose valve symbols and dimensions on each stair level.

25. **[Fire Protection] – FP","01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Coordination with Architectural Walls; FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1 – Rated wall intersections; FP-03_LEVEL3 - FIRE PROTECTION.pdf, Page 1 – Stair cores; FP-07_LEVEL7 - FIRE PROTECTION.pdf, Page 1 – Interface with rated cores and shafts; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1 – General notes/legends area; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Shafts and rated walls; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Notes/legend area; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Penetrations at rated cores; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Vertical shafts and cores; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Unit Demising and Core Rated Walls; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Rated Shafts and Demising Walls; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Rated Enclosures and Mechanical Rooms; Faena - 50% CD - Architecture.pdf, Page 70 – Sheet A1102A; Page 80 – Sheet A1107A**"
26,"**[Fire Protection] – 210500 - Common work results for fire protection.pdf, Page 1 – Section 1.2.B; 210517 - Sleeves and sleeve seals for fire-suppression piping.pdf, Page 1 – Section 2.1; 210518 - Escutcheons for fire-suppression piping.pdf, Page 1 – Section 21 05 18; 210800 - Fire protection testing.pdf, Page 1 – Article 1.1; 210800 - Fire protection testing.pdf, Page 1 – Article 3.1; 210553 - Identification for fire-suppression piping and equipment.pdf, Page 1 – Articles 1.2 & 1.3; 210529 - Hangers and supports.pdf, Page 1 – Article 1.1 SUMMARY; 210519 - Meters and gauges.pdf, Page 1 – Articles 1.1, 1.3 & 2.1; 210505 - General materials and methods.pdf, Page 1 – Section 1.1.A.8, A.10, A.12**  
    Observation","Multiple FP spec sections reference related work (firestopping, sealants, vibration controls, meters/gauges, supports, painting, concrete bases, testing, identification) but do not clearly define division of responsibility between FP, mechanical, electrical, and architectural trades. Request a responsibility matrix and cross","references clarifying which trade provides firestopping, escutcheons, seismic bracing, meters, labels, and integrated testing."
27,"**[Fire Protection] – 210800 - Fire protection testing.pdf, Page 1 – Articles 1.1 and 3.1**  
    Observation","Testing section references “electrical field testing and inspecting” and “relevant NFPA standards” generically but does not list specific tests (hydrostatic, flushing, main drain, pump acceptance, alarm interface, integrated testing) or required witnessing parties. Request explicit test matrix, responsibilities, and witnessing/notification requirements for scheduling and coordination.

28. **[Fire Protection] – 210553","Identification for fire-suppression piping and equipment.pdf, Page 1 – Articles 1.2 & 1.3**"
29,"**[Fire Protection] – 210519 - Meters and gauges.pdf, Page 1 – Articles 1.1, 1.3 & 2.1**  
    Observation","Spec includes water meters and gauges but does not define minimum pressure rating, accuracy class, or connection size for fire pump suction/discharge and system riser gauges, nor coordination with civil/utility pit details. Request explicit performance criteria and civil coordination for exterior meters.

30. **[Fire Protection] – 210529","Hangers and supports.pdf, Page 1 – Article 1.1 SUMMARY; 210505 - General materials and methods.pdf, Page 1 – Section 1.1.A.12**"
31,"**[Fire Protection] – 210518 - Escutcheons for fire-suppression piping.pdf, Page 1 – Article 1.6 INSTALLATION**  
    Observation","Installation criteria require close fit around insulation but do not address compatibility with flexible/CPVC piping or oversized seismic/movement joints. Request guidance for use at flexible piping and deflection joints.

32. **[Fire Protection] – 210000","Fire protection index.pdf, Page 1 – Fire Protection Index**"
33,"**[Fire Protection] – 210500 - Common work results for fire protection.pdf, Page 1 – Section 1.1.A.3**  
    Observation",Spec requires dry,"type sprinkler systems in areas exposed to freezing, but drawings do not identify such areas. Request list or plan designation of dry system zones for coordination with heat tracing and controls."
34,"**[Fire Protection] – 211313 - Wet pipe sprinkler systems.pdf, Page 1 – Section 1.2.B.3**  
    Observation",Statement that “Areas exposed to freezing will have a dry pipe sprinkler system” conflicts with “Wet,Pipe Sprinkler Systems” title and lacks cross-reference to a dry-pipe spec or clear delineation on drawings. Potential scope gaps; request clarification and proper cross-references.
35,"**[Fire Protection] – 213113 - Electric-drive, centrifugal fire pumps.pdf, Page 1 – Sections 1.3.A, 1.3.B, 1.4.B**  
    Observation","Fire pump performance and motor horsepower are deferred to an unspecified “Schedule” not shown on the referenced page, and minimum working clearances are not stated. Constructability of pump selection and room sizing is unclear; request pump duty points, pressures, and clearance requirements.

36. **[Fire Protection] – FP","0_SITE PLAN.pdf, Page 1 – Site Plan Near River/Waterfront**"
37,"**[Fire Protection] – FP-0_SITE PLAN.pdf, Page 1 – General Notes; FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Riser/standpipe references; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – General notes and details block; FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – General notes/details block; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Notes/legend area; FP-17 to FP-21 series – General notes area; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Coordination Notes/Legends Area; FP-24_LEVEL66 - FIRE PROTECTION.pdf, Page 1 – Notes/Details Block**  
    Observation","General FP notes do not explicitly reference standpipe zoning, number of standpipes, stair designations, or level",specific design densities and remote areas. Request enhanced general notes or separate schedules defining these parameters.
38,"**[Fire Protection] – FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Ceiling/Obstruction Coordination; FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1 – Perimeter soffits and coordination notes; FP-03_LEVEL3 - FIRE PROTECTION.pdf, Page 1 – Sloped/stepped structure; FP-04_LEVEL4 - FIRE PROTECTION.pdf, Page 1 – Structural obstructions; FP-05_LEVEL5 - FIRE PROTECTION.pdf, Page 1 – Transition between interior and exterior; FP-06_LEVEL6 - FIRE PROTECTION.pdf, Page 1 – Roof/ceiling interface; FP-07_LEVEL7 - FIRE PROTECTION.pdf, Page 1 – Soffits and bulkheads; FP-08_LEVEL8 - FIRE PROTECTION.pdf, Page 1 – Soffits and dropped ceilings; FP-09_LEVEL9 - FIRE PROTECTION.pdf, Page 1 – Garage beams; FP-10_LEVEL10 - FIRE PROTECTION.pdf, Page 1 – Large mechanical room obstructions; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – Pool and amenity obstructions; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1 – Coordination with RCP; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Corridors and lobbies; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Perimeter terraces; FP-15_LEVEL36 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Duct shafts and large ductwork; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Corridor and lobby areas; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Perimeter units; FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf, Page 1 – Coordination with ducts; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – Restaurant/bar soffits; FP-20_LEVEL62 - FIRE PROTECTION.pdf, Page 1 – Mezzanine/overhead elements; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Large open function spaces; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Coordination Notes/Legends Area; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Ceiling height changes; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Public Lobby and Amenity Areas; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Roof amenity areas; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Coordination with architecture; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Penthouse/roof structures; Faena - 50% CD - Architecture.pdf, Page 70 – Sheet A1102A; Page 80 – Sheet A1107A**  
    Observation","FP plans show schematic sprinkler layouts without detailed coordination with reflected ceiling plans, soffits, beams, ramps, mezzanines, and decorative elements. Potential for concealed or obstructed sprinkler discharge patterns; request coordinated FP/RCP/structural overlays and additional sections/details for complex areas.

39. **[Fire Protection] – FP","01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Parking/Back-of-House Areas; FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1 – Service/core rooms; FP-03_LEVEL3 - FIRE PROTECTION.pdf, Page 1 – Mechanical/electrical rooms; FP-04_LEVEL4 - FIRE PROTECTION.pdf, Page 1 – Residential units; FP-05_LEVEL5 - FIRE PROTECTION.pdf, Page 1 – Stair and elevator lobbies; FP-06_LEVEL6 - FIRE PROTECTION.pdf, Page 1 – Upper residential units; FP-07_LEVEL7 - FIRE PROTECTION.pdf, Page 1 – Unit corridors/dwelling units; FP-08_LEVEL8 - FIRE PROTECTION.pdf, Page 1 – Perimeter residential units; FP-09_LEVEL9 - FIRE PROTECTION.pdf, Page 1 – Unit bathrooms and small closets; FP-10_LEVEL10 - FIRE PROTECTION.pdf, Page 1 – Residential units; FP-11_LEVEL11 - FIRE PROTECTION.pdf, Page 1 – Residential units at tower; FP-12_LEVEL12 - FIRE PROTECTION.pdf, Page 1 – Residential units and corridors; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Unit interiors; FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Perimeter terraces/balconies; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Unit balconies/edge conditions; FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Residential units and balconies; FP-19_LEVEL61 - FIRE PROTECTION.pdf, Page 1 – Kitchen and back-of-house; FP-21_LEVEL63 - FIRE PROTECTION.pdf, Page 1 – Guestroom/corridor areas; FP-22_LEVEL64 - FIRE PROTECTION.pdf, Page 1 – Small rooms/soffited areas; FP-23_LEVEL65 - FIRE PROTECTION.pdf, Page 1 – Residential Units and Balconies; FP-25_LEVEL67 - FIRE PROTECTION.pdf, Page 1 – Large open residential areas and corner units; FP-27_LEVEL69 - FIRE PROTECTION.pdf, Page 1 – Residential units and corridors; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Penthouse/roof structures; FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Unit interiors; FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf, Page 1 – Unit balconies/edge conditions**"
40,"**[Fire Protection] – FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1 – Large circular space at grid A/6; Faena - 50% CD - Architecture.pdf, Page 70 – Sheet A1102A – Large double-height circular space**  
    Observation",Large circular/double,"height atrium-type space with complex ceiling geometry shows limited sprinkler symbols and no clear indication of protection approach (ceiling vs sidewall vs in-duct), especially near balcony/overlook areas. Request atrium-specific FP design and details."
