Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
11,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,"Text states “Building or area will be fully sprinklered (exception only as per local code)” without defining any non-sprinklered spaces or referencing occupancy-specific exceptions; request explicit list of areas, if any, not to receive sprinklers for coordination."
12,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,"Specification references “combination standpipe and sprinkler riser system” but provides no performance criteria (class, zone limits, design pressures); request additional standpipe design parameters for layout and riser sizing."
13,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,Requirement for dry-type sprinkler systems in areas exposed to freezing does not define what areas are considered subject to freezing; need coordination with architectural/mechanical drawings to identify these spaces.
14,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,Shop drawing requirement calls for “balanced supply and demand for the appropriate hazard class as defined in NFPA 13” but does not identify hazard classifications by space type; request schedule or criteria to avoid assumptions during hydraulic design.
15,Fire Protection,Critical,210500 - Common work results for fire protection.pdf,"Related work list references firestopping, flashing, and sealants but does not clearly assign responsibility for fire-rated FP penetrations and coordination with Division 07; clarify which trade provides and installs firestopping at FP sleeves."
16,Fire Protection,Critical,078413 - Firestops and smokeseals.pdf,"Spec lists firestops for various penetration types but does not reference required tested systems (UL, FM, or other listings); need clarification that all penetrations for FP piping will use listed assemblies matching each wall/floor rating."
17,Fire Protection,Critical,078413 - Firestops and smokeseals.pdf,"Penetrations at each floor level in shafts/stairwells are included, but no explicit coordination note with standpipes, sprinkler risers, or stair pressurization ductwork; request confirmation that FP penetrations in shafts will be detailed and sealed to maintain required shaft ratings and pressurization integrity."
18,Fire Protection,Critical,078413 - Firestops and smokeseals.pdf,"Related sections reference piping, duct, cable, and conduit penetrations but do not clearly assign responsibility for firestopping around FP piping vs. other trades; clarify which trade provides and installs firestopping at sprinkler/standpipe penetrations to avoid scope gaps."
19,Fire Protection,Critical,266001 - Fire protective alarm system.pdf,"Fire alarm spec lists sprinkler and standpipe alarm/supervisory devices and interfaces with pre-action/clean agent systems, but does not reference coordination with sprinkler/standpipe shop drawings or NFPA 13/14 requirements; clarify FP integration responsibilities."
20,Fire Protection,Critical,266001 - Fire protective alarm system.pdf,"Smoke control and post-fire smoke purge panels are included, but no reference is made to coordination with mechanical smoke control design and stair/shaft pressurization sequences; request coordination requirements and applicable NFPA/IBC sections."
21,Fire Protection,Critical,266001 - Fire protective alarm system.pdf,Section references “area of rescue assistance” intercom stations and magnetic door holders but does not state door release logic or interface requirements with fire/smoke doors and egress components; clarify cause-and-effect matrix and code basis.
22,Fire Protection,Critical,266001 - Fire protective alarm system.pdf,"No performance criteria stated for audibility/intelligibility of notification appliances (e.g., dBA levels, voice intelligibility per NFPA 72); request inclusion to avoid field disputes."
23,Fire Protection,Critical,266001 - Fire protective alarm system.pdf,"Interfaces with pre-action/clean agent systems are mentioned generically without specifying which systems or sequence of operations (pre-action trip, agent release, shutdowns); request detailed interface description and responsibility matrix."
24,Fire Protection,Critical,266008.01 - Emergency responder auxiliary bi-directional radio communication system.pdf,"Summary text contains placeholder “<insert other agency if required>,” indicating emergency responder users and coverage requirements are not finalized; request confirmation of all AHJ agencies and their radio requirements before design."
25,Fire Protection,Critical,266008.01 - Emergency responder auxiliary bi-directional radio communication system.pdf,"Section does not clearly state minimum in-building radio signal strength, coverage percentages, or testing criteria per NFPA 72/1221/1225 and local code; request explicit performance metrics to size BDA system."
26,Fire Protection,Critical,266008.01 - Emergency responder auxiliary bi-directional radio communication system.pdf,Baseline radio signal strength testing is required but timing relative to building construction (core/shell vs. fit-out) and responsible party are not defined; clarify schedule and contractor responsibility to avoid delays.
27,Fire Protection,Critical,266008.01 - Emergency responder auxiliary bi-directional radio communication system.pdf,"Specification allows systems to be “combined only as allowed by the agencies,” but does not state if separate BDAs are required for fire vs. police or if shared systems are acceptable; request AHJ guidance to avoid redesign."
28,Fire Protection,Critical,263213 - Engine generators.pdf,"Generator spec lists “outdoor enclosure” and fuel system but does not address fire protection requirements for fuel storage, fire rating of enclosure/room, or integration with fire alarm (run status, trouble, emergency stop); request coordination with FP and code requirements."
29,Fire Protection,Critical,263600 - Transfer switches.pdf,"Transfer switch spec references a separate section for electric-drive fire pumps but does not clearly state that fire pump transfer switches must be dedicated and comply with NFPA 20 (no other loads, bypass features, location); request explicit fire pump ATS requirements."
30,Fire Protection,Critical,263600 - Transfer switches.pdf,"Single-line diagram requirements do not explicitly require showing fire pump, fire alarm, and life safety loads separately from non–life safety loads; request clarification to ensure emergency power system complies with NFPA 70/110 and FP priorities."
31,Fire Protection,Critical,262816 - Enclosed switches and circuit breakers.pdf,"Section covers molded-case circuit breakers and enclosures but does not identify any fire pump or fire alarm service disconnect requirements (e.g., locked-on, supervision, location); request clarification for devices serving FP systems."
32,Fire Protection,Critical,262816 - Enclosed switches and circuit breakers.pdf,"Seismic performance is referenced generally to ASCE/SEI 7, but there is no cross-reference to NFPA 13/72 seismic bracing and operational requirements for FP-related power equipment; request coordination language so FP systems remain operational after seismic events."
33,Fire Protection,Critical,FP-0_SITE PLAN.pdf,"Fire hydrant locations and FDC are shown but no dimensions to building entrances or fire lanes; ability for fire department access and hose reach, especially during potential flood events noted in general notes, is not clearly documented."
34,Fire Protection,Critical,FP-0_SITE PLAN.pdf,"Underground fire service, hydrant, and FDC piping are indicated as “by others” with no clear responsibility for coordination with building FP risers and backflow location; potential constructability/ownership gap."
35,Fire Protection,Critical,FP-0_SITE PLAN.pdf,"Flow test data provided but no explicit indication of required sprinkler system design criteria (hazard classification, density/area, hose allowance) tied to this test, making adequacy of water supply for intended FP systems unclear."
36,Fire Protection,Critical,FP-0_SITE PLAN.pdf,"FDC symbol shown but piping routing to building riser/backflow not clearly indicated; connection, size, and check valve/backflow arrangement are ambiguous for construction."
37,Fire Protection,Critical,FP-0_SITE PLAN.pdf,"General notes reference NFPA standards but do not clearly address interface of site FP work with flood protection or elevation of critical components (FDC, backflow) above flood levels, which may affect constructability and code compliance."
38,Fire Protection,Critical,FP-01_LEVEL1 - FIRE PROTECTION.pdf,Sprinkler head layout is not dimensioned; maximum spacing and distance from walls/partitions cannot be verified for NFPA 13 compliance.
39,Fire Protection,Critical,FP-01_LEVEL1 - FIRE PROTECTION.pdf,Coordination of sprinklers with architectural soffits and ceiling elevations is not detailed; potential for concealed or obstructed heads under soffits is not addressed.
40,Fire Protection,Critical,FP-01_LEVEL1 - FIRE PROTECTION.pdf,"Relationship between stair/elevator area of refuge communication system and FP devices (sprinklers, standpipes, smoke control) is not indicated; potential conflict with required clearances and rated enclosures."
41,Fire Protection,Critical,FP-01_LEVEL1 - FIRE PROTECTION.pdf,"Riser(s) are symbolized but vertical continuity, size, and connection to site fire service/FDC are not shown on this sheet; routing and coordination through floors are ambiguous."
42,Fire Protection,Critical,FP-01_LEVEL1 - FIRE PROTECTION.pdf,Hose valve locations within stairs are not clearly labeled or dimensioned from landings; compliance with standpipe coverage and accessibility requirements is unclear.
43,Fire Protection,Critical,FP-01_LEVEL1 - FIRE PROTECTION.pdf,"Penetrations of rated walls/shafts by FP piping are not detailed or called out with required firestopping assemblies, leaving coordination with architectural fire ratings unresolved."
44,Fire Protection,Critical,FP-02_LEVEL2 - FIRE PROTECTION.pdf,"Sprinkler head spacing and distances to walls/obstructions are not dimensioned; ability to confirm NFPA 13 coverage, especially in irregularly shaped rooms and corridors, is unclear."
45,Fire Protection,Critical,FP-02_LEVEL2 - FIRE PROTECTION.pdf,Sprinkler coverage around the large circular opening and adjacent edges is not clearly defined; potential for unsprinklered shadow areas or need for sidewall/extended coverage heads not addressed.
46,Fire Protection,Critical,FP-02_LEVEL2 - FIRE PROTECTION.pdf,No explicit coordination notes for sprinkler piping and heads relative to large duct runs and mechanical equipment; risk of sprinkler obstruction or clearance conflicts.
47,Fire Protection,Critical,FP-02_LEVEL2 - FIRE PROTECTION.pdf,Stair pressurization systems are not shown or coordinated with standpipe risers and sprinkler piping; potential conflicts in shafts and mechanical spaces not resolved.
48,Fire Protection,Critical,FP-02_LEVEL2 - FIRE PROTECTION.pdf,Continuity and sizing of standpipe/sprinkler risers between Level 1 and Level 2 are not clearly diagrammed; contractor cannot verify hydraulic zoning or redundancy.
49,Fire Protection,Critical,FP-03_LEVEL3 - FIRE PROTECTION.pdf,"Similar to lower levels, sprinkler head layout lacks dimensions; compliance with maximum spacing and coverage, particularly in the large parking/terrace area, is not verifiable."
50,Fire Protection,Critical,FP-03_LEVEL3 - FIRE PROTECTION.pdf,No detailing of sprinkler placement relative to sloped ceilings or structural beams; potential for obstructions and non-uniform coverage in parking/amenity zones.
51,Fire Protection,Critical,FP-03_LEVEL3 - FIRE PROTECTION.pdf,It is unclear whether balconies/terraces associated with units are intended to be sprinklered; lack of notation may lead to unsprinklered required areas.
52,Fire Protection,Critical,FP-03_LEVEL3 - FIRE PROTECTION.pdf,No seismic bracing layout or notes for FP piping on this level despite project seismic requirements referenced elsewhere; constructability and compliance with NFPA 13 seismic provisions are not documented.
53,Fire Protection,Critical,"FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1; FP-02_LEVEL2 - FIRE PROTECTION.pdf, Page 1; FP-03_LEVEL3 - FIRE PROTECTION.pdf","FP general notes do not clearly specify design criteria per occupancy (hazard classification, density/area, hose stream, safety factor) for each zone/level, leaving hydraulic design basis ambiguous."
54,Fire Protection,Critical,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Sprinkler head spacing is not dimensioned; compliance with NFPA coverage criteria and coordination with architectural RCP is unclear.
55,Fire Protection,Critical,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Several small rooms/closets appear without clearly indicated sprinkler heads; confirm all enclosed spaces requiring protection are covered.
56,Fire Protection,Critical,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Extent of sprinkler protection for exterior/covered terrace areas is ambiguous; clarify which portions are considered exterior/unprotected vs. requiring sprinklers.
57,Fire Protection,Critical,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Potential obstructions from large columns/beam drops not detailed for sprinkler placement; provide coordination details for head locations relative to these elements.
58,Fire Protection,Critical,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Standpipe risers and hose valve locations within stairs/elevator lobbies are not clearly shown on this level; confirm standpipe continuity and valve locations.
59,Fire Protection,Critical,FP-04_LEVEL4 - FIRE PROTECTION.pdf,Penetrations of fire-rated walls/shafts by sprinkler piping are not detailed; need confirmation of approved firestopping assemblies and sleeve requirements.
60,Fire Protection,Critical,FP-05_LEVEL5 - FIRE PROTECTION.pdf,Sprinkler layout appears similar to Level 4 but head spacing and design area not dimensioned; request confirmation of spacing and density criteria.
61,Fire Protection,Critical,FP-05_LEVEL5 - FIRE PROTECTION.pdf,Treatment of balcony/terrace areas for sprinkler coverage is unclear; indicate if these are exempt exterior spaces or require sidewall/pendant protection.
62,Fire Protection,Critical,FP-05_LEVEL5 - FIRE PROTECTION.pdf,Hose valve symbols are not clearly visible at every stair landing; confirm hose valve quantity and locations per code.
63,Fire Protection,Critical,FP-05_LEVEL5 - FIRE PROTECTION.pdf,Sprinkler head types (ordinary vs. special application) and possible obstructions from equipment are not coordinated; provide room-specific notes or details.
64,Fire Protection,Critical,FP-06_LEVEL6 - FIRE PROTECTION.pdf,No clear indication of sprinkler zoning or floor control valve locations serving this level; clarify riser/floor control arrangement for isolation and testing.
65,Fire Protection,Critical,FP-06_LEVEL6 - FIRE PROTECTION.pdf,Some small internal rooms appear without distinct sprinkler symbols; verify coverage or provide notation if exempt under NFPA.
66,Fire Protection,Critical,FP-06_LEVEL6 - FIRE PROTECTION.pdf,Ceiling height transitions and soffits are not shown on FP plan; risk of concealed or shadow areas around soffits without sprinklers—coordinate with architectural RCP.
67,Fire Protection,Critical,FP-06_LEVEL6 - FIRE PROTECTION.pdf,Irregular perimeter geometry creates small alcoves where sprinklers may be outside allowable distance from walls; provide dimensions or adjust head locations.
68,Fire Protection,Critical,FP-07_LEVEL7 - FIRE PROTECTION.pdf,Sprinkler head spacing and design area not dimensioned; need confirmation that maximum coverage area per head is not exceeded in large open floor zones.
69,Fire Protection,Critical,FP-07_LEVEL7 - FIRE PROTECTION.pdf,No clear indication of separate sprinkler systems or control valves for differing hazard classifications; clarify system zoning and density changes.
70,Fire Protection,Critical,FP-07_LEVEL7 - FIRE PROTECTION.pdf,Coordination between sprinkler piping and potential stair pressurization ductwork not indicated; request coordination to avoid conflicts and maintain shaft ratings.
71,Fire Protection,Critical,FP-07_LEVEL7 - FIRE PROTECTION.pdf,Sprinkler presence/omission in elevator equipment areas is not clearly called out; confirm compliance with elevator code and NFPA 13 (including heat detection/shunt trip if applicable).
72,Fire Protection,Critical,FP-08_LEVEL8 - FIRE PROTECTION.pdf,Similar plan to Levels 5–7 but without explicit dimensions for head spacing or design density; provide criteria and confirm consistency across levels.
73,Fire Protection,Critical,FP-08_LEVEL8 - FIRE PROTECTION.pdf,Extent of sprinkler coverage for partially covered exterior areas is unclear; need clarification on classification as exterior vs. required sprinklered space.
74,Fire Protection,Critical,FP-08_LEVEL8 - FIRE PROTECTION.pdf,Complex geometry and multiple wall angles may create shadowed areas from sprinklers; request detailed coordination or additional heads at corners.
75,Fire Protection,Critical,FP-08_LEVEL8 - FIRE PROTECTION.pdf,Sheet relies on typical details and general notes but does not reference seismic bracing requirements for piping on upper levels; confirm seismic bracing design and locations per code.
76,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Sprinkler head spacing is not dimensioned; compliance with NFPA coverage requirements in large open areas and residential units cannot be verified.
77,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,"Numerous sprinklers shown on a sloped/irregular ceiling; no sections or notes clarifying ceiling slope, head type, or spacing adjustments for non-level ceilings."
78,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Coordination of sprinklers with architectural ceilings/soffits in units is not detailed; potential hidden soffits or dropped beams not addressed on FP plan.
79,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Riser locations and sizes are not clearly labeled; continuity of vertical piping and connection to lower/upper levels is ambiguous.
80,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Standpipe hose valve locations within stairs are not clearly indicated; unclear if required intermediate landings and roof valves are provided.
81,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Exterior balcony/terrace areas adjacent to residential units appear unsprinklered; no indication whether these are exempt from sprinkler coverage.
82,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Penetrations of fire-rated walls by FP piping are not called out with sleeve/firestopping details; coordination with rated assemblies is unclear.
83,Fire Protection,Critical,FP-09_LEVEL9 - FIRE PROTECTION.pdf,Seismic bracing requirements for Level 9 piping are not shown or referenced; unclear if system is designed for required seismic protection.
84,Fire Protection,Critical,FP-10_LEVEL10 - FIRE PROTECTION.pdf,Sprinkler layout lacks dimensions; spacing and coverage in large open areas and units cannot be confirmed as code compliant.
85,Fire Protection,Critical,FP-10_LEVEL10 - FIRE PROTECTION.pdf,"Similar sloped/angled ceiling area as Level 9; no specific details on sprinkler type, deflector orientation, or spacing for sloped construction."
86,Fire Protection,Critical,FP-10_LEVEL10 - FIRE PROTECTION.pdf,"Coordination of sprinkler heads with varied ceiling heights, soffits, and bulkheads is not addressed; risk of concealed obstructions to spray patterns."
87,Fire Protection,Critical,FP-10_LEVEL10 - FIRE PROTECTION.pdf,Standpipe riser routing and hose valve locations are not clearly indicated; unclear if valves are provided at each required landing.
88,Fire Protection,Critical,FP-10_LEVEL10 - FIRE PROTECTION.pdf,No explicit indication of firestopping details for FP piping through rated walls; potential non-compliance with fire-resistance continuity.
89,Fire Protection,Critical,FP-10_LEVEL10 - FIRE PROTECTION.pdf,Areas transitioning to exterior terraces appear to have limited or no sprinkler coverage; need clarification on occupancy/use and sprinkler requirements.
90,Fire Protection,Critical,FP-11_LEVEL11 - FIRE PROTECTION.pdf,Sprinkler head spacing not dimensioned; coverage in residential units and amenity/terrace areas cannot be verified.
91,Fire Protection,Critical,FP-11_LEVEL11 - FIRE PROTECTION.pdf,Extensive exterior deck with furniture/amenity indications appears unsprinklered; need clarification if these areas are considered exterior and exempt or require sprinklers.
92,Fire Protection,Critical,FP-11_LEVEL11 - FIRE PROTECTION.pdf,No clear detail on how sprinklers are handled at large openings from interior spaces to exterior deck; potential gaps in protection near openings.
93,Fire Protection,Critical,FP-11_LEVEL11 - FIRE PROTECTION.pdf,Coordination with architectural soffits and beams in units/corridors is not shown; potential for sprinkler obstruction by structure or ductwork.
94,Fire Protection,Critical,FP-11_LEVEL11 - FIRE PROTECTION.pdf,Hose valve symbols are not clearly legible; confirmation needed that all required standpipe hose valve locations are provided.
95,Fire Protection,Critical,FP-11_LEVEL11 - FIRE PROTECTION.pdf,No explicit reference to seismic bracing layout for this level; bracing locations and details appear generic and may not be sufficient for all mains and branch lines.
96,Fire Protection,Critical,FP-12_LEVEL12 - FIRE PROTECTION.pdf,Sprinkler coverage in residential units and open office/amenity spaces is shown schematically without dimensions; code-compliant spacing cannot be verified.
97,Fire Protection,Critical,FP-12_LEVEL12 - FIRE PROTECTION.pdf,Large open areas with potentially varying ceiling heights lack coordination details for sprinkler elevation and obstructions.
98,Fire Protection,Critical,FP-12_LEVEL12 - FIRE PROTECTION.pdf,FP piping crossing between building sections is not clearly indicated; unclear if separate zones or seismic separation requirements are addressed.
99,Fire Protection,Critical,FP-12_LEVEL12 - FIRE PROTECTION.pdf,Standpipe risers and hose valve locations not clearly labeled; confirmation required that continuity from lower levels and up to roof is maintained.
100,Fire Protection,Critical,FP-12_LEVEL12 - FIRE PROTECTION.pdf,"No explicit indication of sprinkler coverage in small closets, bathrooms, and soffited entry areas; potential unsprinklered combustible spaces."
101,Fire Protection,Critical,FP-12_LEVEL12 - FIRE PROTECTION.pdf,Penetrations by FP piping through rated corridors and shafts are not detailed; need firestopping and sleeve coordination.
102,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler head spacing and exact locations in units and corridors are schematic; no dimensions given to verify NFPA 13/13R spacing.
103,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Same typical layout used for multiple levels without level-specific notes; any level-by-level ceiling or soffit variations are not accounted for in sprinkler design.
104,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Irregular room geometries and angled exterior walls may create shadow areas; no supplemental heads or coverage analysis shown.
105,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Exterior balconies/terraces adjacent to units appear unsprinklered; need clarification whether these are exempt or require corrosion-resistant exterior sprinklers.
106,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,"Coordination with possible ceiling recesses, light coves, and mechanical bulkheads is not shown; potential for sprinkler obstruction by architectural features."
107,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,Standpipe and sprinkler riser locations are not clearly identified; hose valve placement on typical floors is ambiguous.
108,Fire Protection,Critical,FP-13_LEVEL14-23 - RESIDENTIAL - FIRE PROTECTION.pdf,"No explicit typical-unit detail showing sprinkler coverage requirements for closets, bathrooms, and small storage rooms; risk of inconsistent layout during shop drawing phase."
109,Fire Protection,Critical,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler head spacing and coverage are not dimensioned; compliance with NFPA 13 maximum spacing and distance from walls cannot be verified.
110,Fire Protection,Critical,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,"No explicit indication of sprinkler protection inside small closets, pantries, and similar enclosed spaces; confirm which spaces are intentionally omitted and basis per NFPA 13."
111,Fire Protection,Critical,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Standpipe riser routing and hose valve locations within stairs are not clearly shown on this level; clarify standpipe configuration and valve locations for each stair.
112,Fire Protection,Critical,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Penetrations of sprinkler piping through fire-rated walls/shafts are not identified or detailed; need coordination with architectural fire-resistance requirements.
113,Fire Protection,Critical,FP-14_LEVEL24-35 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler or exposure protection at exterior balconies/terraces is not indicated; confirm if sprinklers are required or provide note clarifying omission.
114,Fire Protection,Critical,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler layout appears similar to lower residential levels but no note confirms that coverage and design density are identical; request confirmation or level-specific differences.
115,Fire Protection,Critical,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,"No specific detailing of sprinklers under soffits, beams, or dropped ceilings within units; potential hidden obstructions to sprinkler discharge not addressed."
116,Fire Protection,Critical,FP-16_LEVEL37-48 - RESIDENTIAL - FIRE PROTECTION.pdf,Exact location and spacing of corridor sprinklers relative to corridor width and ceiling features are not dimensioned; need confirmation that spacing and wall distances meet NFPA 13.
117,Fire Protection,Critical,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,"Repetitive residential levels rely on typicals, but no explicit riser diagram reference on this sheet; unclear how vertical sprinkler/standpipe risers serve these floors."
118,Fire Protection,Critical,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,Sprinkler coverage at elevator lobbies and any decorative ceiling/soffit conditions is not clearly coordinated with architectural RCPs; risk of missed or obstructed heads.
119,Fire Protection,Critical,FP-17_LEVEL49-59 - RESIDENTIAL - FIRE PROTECTION.pdf,No indication of seismic bracing or lateral restraint for high-rise piping near building perimeter; confirm seismic design and bracing details for these upper levels.
120,Fire Protection,Critical,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,Sprinkler protection for large mechanical/equipment spaces and any exposed structural steel is not clearly shown; confirm whether these areas are fully sprinklered or exempt.
121,Fire Protection,Critical,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,Potential conflicts between sprinkler heads and large ducts/equipment are not resolved; need coordination to avoid discharge obstructions and to maintain required clearances.
122,Fire Protection,Critical,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,"Standpipe termination, hose valve locations, and any required roof manifold or test headers are not indicated on this uppermost mechanical level; provide clear standpipe details."
123,Fire Protection,Critical,FP-18_LEVEL60 - MECHANICAL - FIRE PROTECTION.pdf,"Sheet relies on general notes and typical details, but no hydraulic design criteria (density, area, hose allowance, system demand) specific to these upper levels are stated; request confirmation of design basis and available water supply for high-rise floors."
124,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Sprinkler head spacing is not dimensioned; compliance with NFPA maximum coverage per head and distance from walls/partitions is unclear.
125,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Several exterior covered/soffited seating/terrace zones show furniture layouts but no sprinkler heads; need clarification if these areas are considered exterior/unprotected or require sprinklers under canopies/soffits.
126,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Atrium opening and adjacent balcony edges do not clearly show sidewall/extended coverage heads or draft curtains; protection of atrium boundaries and potential water demand impact is not defined.
127,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Small rooms and closets appear un-sprinklered with no note that they qualify for NFPA 13 omission; need confirmation of omission criteria and any concealed spaces above showers/soffits.
128,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Standpipe riser and hose valve locations within stairs/lobbies are not indicated; routing and required hose valves at intermediate landings per floor are unclear.
129,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Sprinkler mains/branches crossing rated shafts and stair/elevator enclosures are not detailed; firestopping and sleeve requirements at rated penetrations are not shown.
130,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,Multiple soffits and ceiling height changes shown architecturally but no FP notes on head type (pendant vs sidewall) or distance from obstructions; potential hidden obstructions to sprinkler discharge not coordinated.
131,Fire Protection,Critical,FP-19_LEVEL61 - FIRE PROTECTION.pdf,"No seismic bracing layout or note specific to Level 61 is provided; requirements for lateral bracing, restraint of mains, and coordination with structure are not documented."
132,Fire Protection,Critical,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Sprinkler head spacing and coverage areas are not dimensioned; designer intent for density/area of application and compliance with NFPA spacing limits is ambiguous.
133,Fire Protection,Critical,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Multiple furniture clusters and circulation paths under varying ceiling lines do not show detailed sprinkler locations relative to beams/soffits; risk of shadowed areas and non-uniform coverage.
134,Fire Protection,Critical,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Several balcony/terrace zones adjacent to guestrooms and public spaces show no sprinklers or clear note that they are fully open to exterior; need confirmation whether sprinklers are required under any projecting slabs or canopies.
135,Fire Protection,Critical,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Standpipe riser and hose valve symbols are not visible in stair enclosures; confirmation needed on hose valve locations at each required level and connection to riser diagram.
136,Fire Protection,Critical,FP-20_LEVEL62 - FIRE PROTECTION.pdf,"If these rooms are parking or storage, no special hazard notes (e.g., Ordinary Hazard Group 2, higher density, or dry system) are called out; classification and design criteria are unclear."
137,Fire Protection,Critical,FP-20_LEVEL62 - FIRE PROTECTION.pdf,Plan does not reference architectural RCP for ceiling heights; coordination for pendant vs concealed heads and locations at bulkheads/soffits is not documented.
138,Fire Protection,Critical,FP-21_LEVEL63 - FIRE PROTECTION.pdf,Sprinkler layout is very schematic with no dimensions or design criteria; unclear if coverage meets NFPA 13 spacing and area limitations for guestroom and corridor configurations.
